"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","eykakšt",,,,"UR3","erina_erzya_2015",""
"mB","lʸelʸa",,,,"UR3","erina_erzya_2015",""
"mZ","patʸa",,,,"UR3","erina_erzya_2015",""
"myB","yalaks",,,,"UR3","erina_erzya_2015",""
"myZ","sazor̃",,,,"UR3","erina_erzya_2015",""
"mF","tʸetʸa",,,,"UR3","erina_erzya_2015",""
"mM","ava",,,,"UR3","erina_erzya_2015",""
"mC","eykakš",,,,"UR3","erina_erzya_2015",""
"mS","c̷ʸor̃a",,,,"UR3","erina_erzya_2015",""
"mD","tʸeytʸer̃ʸ",,,,"UR3","erina_erzya_2015",""
"mFF","bodʸa",,,,"UR3","erina_erzya_2015",""
"mFF","pokštʸa",,,,"UR3","erina_erzya_2015",""
"mFM","sɨr̃ʸe baba",,,,"UR3","erina_erzya_2015",""
"mMF","bodʸa",,,,"UR3","erina_erzya_2015",""
"mMF","pokštʸa",,,,"UR3","erina_erzya_2015",""
"mMM","sɨr̃ʸe baba",,,,"UR3","erina_erzya_2015",""
"mSS","nuc̷ʸka",,,,"UR3","erina_erzya_2015",""
"mSD","nuc̷ʸka",,,,"UR3","erina_erzya_2015",""
"mDS","nuc̷ʸka",,,,"UR3","erina_erzya_2015",""
"mDD","nuc̷ʸka",,,,"UR3","erina_erzya_2015",""
"mFB","lʸelʸax",,,,"UR3","erina_erzya_2015",""
"mFZ","sɨr̃ʸkay",,,,"UR3","erina_erzya_2015",""
"mMB","lʸelʸa",,,,"UR3","erina_erzya_2015",""
"mMZ","sɨr̃ʸkay",,,,"UR3","erina_erzya_2015",""
"mBS","lʸelʸanʸ c̷ʸor̃a",,,,"UR3","erina_erzya_2015",""
"mBD","patʸanʸ tʸeytʸer̃ʸ",,,,"UR3","erina_erzya_2015",""
"mZS","lʸelʸanʸ c̷ʸor̃a",,,,"UR3","erina_erzya_2015",""
"mZD","patʸanʸ tʸeytʸer̃ʸ",,,,"UR3","erina_erzya_2015",""
