parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,yaɣpɨɣ,,,,UR6,lyskova_mansi_2015,
mG,yaɣaɣi,,,,UR6,lyskova_mansi_2015,
mB,yaɣpɨɣ,,,,UR6,lyskova_mansi_2015,
mZ,yaɣaɣi,,,,UR6,lyskova_mansi_2015,
myB,apsʸi,,,,UR6,lyskova_mansi_2015,
myZ,esʸ,,,,UR6,lyskova_mansi_2015,
mF,asʸ,,,,UR6,lyskova_mansi_2015,
mM,aŋk,,,,UR6,lyskova_mansi_2015,
mM,oma,,,,UR6,lyskova_mansi_2015,
mM,sʸanʸ,,,,UR6,lyskova_mansi_2015,
mC,yuw-xulʸtne aɣi-pɨɣ,,,,UR6,lyskova_mansi_2015,
mS,pɨɣ,,,,UR6,lyskova_mansi_2015,
mD,aɣi,,,,UR6,lyskova_mansi_2015,
mFF,opa,,,,UR6,lyskova_mansi_2015,
mFF,asʸoyka,,,,UR6,lyskova_mansi_2015,
mFM,anʸekwa,,,,UR6,lyskova_mansi_2015,
mFM,sʸasʸekwa,,,,UR6,lyskova_mansi_2015,
mMF,opa,,,,UR6,lyskova_mansi_2015,
mMF,asʸoyka,,,,UR6,lyskova_mansi_2015,
mMM,anʸekwa,,,,UR6,lyskova_mansi_2015,
mMM,sʸasʸekwa,,,,UR6,lyskova_mansi_2015,
mSS,apɨɣ,,,,UR6,lyskova_mansi_2015,
mSD,apɨɣ,,,,UR6,lyskova_mansi_2015,
mDS,apɨɣ,,,,UR6,lyskova_mansi_2015,
mDD,apɨɣ,,,,UR6,lyskova_mansi_2015,
mFB,akʸi,,,,UR6,lyskova_mansi_2015,
mFB,kaŋk,,,,UR6,lyskova_mansi_2015,
mFZ,akw,,,,UR6,lyskova_mansi_2015,
mFZ,uwsʸi,,,,UR6,lyskova_mansi_2015,
mMB,sasɨɣ,,,,UR6,lyskova_mansi_2015,
mMZ,akw,,,,UR6,lyskova_mansi_2015,
mMZ,nɨy,,,,UR6,lyskova_mansi_2015,
mBS,pant,,,,UR6,lyskova_mansi_2015,
mBS,apsʸi,,,,UR6,lyskova_mansi_2015,
mBS,kaŋk,,,,UR6,lyskova_mansi_2015,
mBD,eŋk,,,,UR6,lyskova_mansi_2015,
mBD,esʸ,,,,UR6,lyskova_mansi_2015,
mBD,uwsʸi,,,,UR6,lyskova_mansi_2015,
mZS,pant,,,,UR6,lyskova_mansi_2015,
mZS,apsʸi,,,,UR6,lyskova_mansi_2015,
mZS,kaŋk,,,,UR6,lyskova_mansi_2015,
mZD,eŋk,,,,UR6,lyskova_mansi_2015,
mZD,esʸ,,,,UR6,lyskova_mansi_2015,
mZD,uwsʸi,,,,UR6,lyskova_mansi_2015,
mFZD,sasɨɣ,,,,UR6,lyskova_mansi_2015,
mFZD,aŋkwpɨɣ,,,,UR6,lyskova_mansi_2015,
mFZD,pant,,,,UR6,lyskova_mansi_2015,
mFZD,aŋkwaɣi,,,,UR6,lyskova_mansi_2015,
mFZD,esʸ,,,,UR6,lyskova_mansi_2015,
mFZD,eŋk,,,,UR6,lyskova_mansi_2015,
