"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mB","(če-)rɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mZ","t-ɨⁿdɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mZ","-r-ɨⁿdɨ",,,"","TP21","dietrich_chiriguano_2015",""
"myB","t-ɨwɨ",,,"","TP21","dietrich_chiriguano_2015",""
"myB","(če-)r-ɨwɨ",,,"","TP21","dietrich_chiriguano_2015",""
"myZ","(če-)pɨkɨ",,,"","TP21","dietrich_chiriguano_2015",""
"myZ","pɨkɨɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mF","t-uu",,,"","TP21","dietrich_chiriguano_2015",""
"mF","t-u",,,"","TP21","dietrich_chiriguano_2015",""
"mF","(če-)ru",,,"","TP21","dietrich_chiriguano_2015",""
"mM","(če-)sɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mM","ičɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mC","-meᵐbɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mS","t-aɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mS","(če-)r-aɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mD","t-ayɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mD","(če-)r-ayɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mFF","t-amɨ̃i -r-amɨ̃i",,,"","TP21","dietrich_chiriguano_2015",""
"mFM","(če-)ǰarɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mMF","t-amɨ̃i -r-amɨ̃i",,,"","TP21","dietrich_chiriguano_2015",""
"mMM","(če-)ǰarɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mSS","h-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"mSS","r-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"mSD","h-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"mSD","r-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"mDS","h-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"mDS","r-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"mDD","h-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"mDD","r-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"mFB","t-uu",,,"","TP21","dietrich_chiriguano_2015",""
"mFB","r-uu",,,"","TP21","dietrich_chiriguano_2015",""
"mFB","-tutɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mFZ","-yeiče",,,"","TP21","dietrich_chiriguano_2015",""
"mMB","-tutɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mMZ","-sɨɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mBS","t-aɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mBS","r-aɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mBD","t-aǰɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mBD","r-aǰɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mZS","t-aɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mZS","r-aɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mZD","t-aǰɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mZD","r-aǰɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mFZD","t-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mFZD","r-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mFBD","t-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mFBD","r-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mMBD","t-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mMBD","r-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mMZD","t-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mMZD","r-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mFBS","t-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mFBS","r-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mFZS","t-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mFZS","r-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mMBS","t-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mMBS","r-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mMZS","t-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mMZS","r-ɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mH","(čẽ-)me",,,"","TP21","dietrich_chiriguano_2015",""
"mW","(če-)r-eᵐbi-reko",,,"","TP21","dietrich_chiriguano_2015",""
"mW","h-eᵐbi-reko",,,"","TP21","dietrich_chiriguano_2015",""
"mHF","(če-)meⁿdu",,,"","TP21","dietrich_chiriguano_2015",""
"mHM","mesɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mWF","r-owaya",,,"","TP21","dietrich_chiriguano_2015",""
"mWM","r-aičo",,,"","TP21","dietrich_chiriguano_2015",""
"mSW","raɨ-tatɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mSW","meᵐbi-tatɨ",,,"","TP21","dietrich_chiriguano_2015",""
"mDH","r-owaya",,,"","TP21","dietrich_chiriguano_2015",""
"mDH","-pẽu",,,"","TP21","dietrich_chiriguano_2015",""
"fB","(če-)rɨkeɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fZ","t-ɨⁿdɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fZ","-r-ɨⁿdɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fyB","t-ɨwɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fyB","(če-)r-ɨwɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fyZ","(če-)pɨkɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fyZ","pɨkɨɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fF","t-uu",,,"","TP21","dietrich_chiriguano_2015",""
"fF","t-u",,,"","TP21","dietrich_chiriguano_2015",""
"fF","(če-)ru",,,"","TP21","dietrich_chiriguano_2015",""
"fM","(če-)sɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fM","ičɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fC","-meᵐbɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fS","t-aɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fS","(če-)r-aɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fD","t-ayɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fD","(če-)r-ayɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fFF","t-amɨ̃i -r-amɨ̃i",,,"","TP21","dietrich_chiriguano_2015",""
"fFM","(če-)ǰarɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fMF","t-amɨ̃i -r-amɨ̃i",,,"","TP21","dietrich_chiriguano_2015",""
"fMM","(če-)ǰarɨ",,,"","TP21","dietrich_chiriguano_2015",""
"fSS","h-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"fSS","r-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"fSD","h-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"fSD","r-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"fDS","h-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"fDS","r-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"fDD","h-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"fDD","r-amarĩro",,,"","TP21","dietrich_chiriguano_2015",""
"fFB","t-uu",,,"","TP21","dietrich_chiriguano_2015",""
"fFB","r-uu",,,"","TP21","dietrich_chiriguano_2015",""
