parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,bukardangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mB,gutha',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mB,gutha\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mB,muuri\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,barrpa\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,mirdiku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,rirrkminy,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,wakinngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,yapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,dyukarrngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,waawa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,yukuyuku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,yapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,gutha\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,yukuyuku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,baapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,dyawurlpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,gunhu\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,maarlu\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,muuri\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngaarndi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngaarnrdi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngama\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,maari\'mu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
