"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mB","tarti","",,,"PN3","bowern_austkin_nodate",""
"mM","nanykuwa","",,,"PN3","bowern_austkin_nodate",""
"mS","purliyan","",,,"PN3","bowern_austkin_nodate",""
"mFB","nangayi","",,,"PN3","bowern_austkin_nodate",""
"mMZ","nanykuwa","",,,"PN3","bowern_austkin_nodate",""
"mBS","purliyan","",,,"PN3","bowern_austkin_nodate",""
"mZS","purliyan","",,,"PN3","bowern_austkin_nodate",""
"mFBS","tarti","",,,"PN3","bowern_austkin_nodate",""
"mMZS","tarti","",,,"PN3","bowern_austkin_nodate",""
"myB","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mFeB","nangayi","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mFyB","nangayi","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mMeZ","nanykuwa","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mMyZ","nanykuwa","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"meBS","purliyan","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"myBS","purliyan","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"meZS","purliyan","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"myZS","purliyan","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mFeBS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mFyBS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mMeZS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mMyZS","tarti","",,,"PN3","bowern_austkin_nodate",""
"mFBeS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mFByS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mMZeS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mMZyS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fB","tarti","",,,"PN3","bowern_austkin_nodate",""
"fM","nanykuwa","",,,"PN3","bowern_austkin_nodate",""
"fS","purliyan","",,,"PN3","bowern_austkin_nodate",""
"fFB","nangayi","",,,"PN3","bowern_austkin_nodate",""
"fMZ","nanykuwa","",,,"PN3","bowern_austkin_nodate",""
"fFBS","tarti","",,,"PN3","bowern_austkin_nodate",""
"fMZS","tarti","",,,"PN3","bowern_austkin_nodate",""
"fyB","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fFeB","nangayi","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fFyB","nangayi","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fMeZ","nanykuwa","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fMyZ","nanykuwa","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fFeBS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fFyBS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fMeZS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fMyZS","tarti","",,,"PN3","bowern_austkin_nodate",""
"fFBeS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fFByS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fMZeS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"fMZyS","tarti","",,,"PN3","bowern_austkin_nodate","Inferred; NA"
"mF","nanghai","nanɣai",,,"PN1","bowern_austkin_nodate",""
"fF","nanghai","nanɣai",,,"PN1","bowern_austkin_nodate",""
"meB","gelanowi","gelanowi",,,"PN1","bowern_chirila_2016",""
"meZ","maranowi","maɹanowi",,,"PN1","bowern_chirila_2016",""
"mM","nainkowa","nainkowa",,,"PN1","bowern_chirila_2016",""
"mC","porlar","poɭaɹ",,,"PN1","bowern_chirila_2016","glossed as ""children"""
"mW","nape","nape",,,"PN1","bowern_chirila_2016",""
"feB","gelanowi","gelanowi",,,"PN1","bowern_chirila_2016",""
"feZ","maranowi","maɹanowi",,,"PN1","bowern_chirila_2016",""
"fM","nainkowa","nainkowa",,,"PN1","bowern_chirila_2016",""
"fC","porlar","poɭaɹ",,,"PN1","bowern_chirila_2016","glossed as ""children"""
"fW","nape","nape",,,"PN1","bowern_chirila_2016",""
"mF","nanghai","nanɣai",,,"PN3","bowern_chirila_2016",""
"fF","nanghai","nanɣai",,,"PN3","bowern_chirila_2016",""
