parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mB,papartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mB,pupu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,kuta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,malatyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,nyarrumpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,malatyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,walytya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,yina,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,tilypu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,walytya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,yakurti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,yipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,kurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,yurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,yapayi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,nyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,nyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,yapayi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,yina,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,ngunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,yungkutyarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kamparnu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kamuru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,waputyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,tilypu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,makurnta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,tyalapurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,tyuwari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,makurnta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,tyalapurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,tyuwari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,makurnta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,tyalapurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,makurnta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,tyalapurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,martungu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,nyukurn,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,nyupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,yarruwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,yinmi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,yirna,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,nyupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fB,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fB,papartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fB,pupu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZ,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,kuta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyB,malatyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,nyarrumpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyZ,malatyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
