parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,kutta,kutta,,,PN3,bowern_austkin_nodate,
myB,wupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,mikana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,wangupaya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,yapu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,yanga,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,kutta,kutta,,,PN3,bowern_austkin_nodate,
fyB,wupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,mikana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,wangupaya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,yapu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,yanga,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mG,gadha(na),kat̪a(na),,,PN1,bowern_chirila_2016,"glossed as ""brother, sister"" but then later glossed as ""brother, sister (elder)"""
mG,wabu(na),wapu(na),,,PN1,bowern_chirila_2016,
meZ,kootanna,koːtanna,,,PN1,bowern_chirila_2016,
meZ,gudha(na),kut̪a(na),,,PN1,bowern_chirila_2016,
meZ,waŋgubaya,waŋkupaya,,,PN1,bowern_chirila_2016,
mF,wadi,wati,,,PN1,bowern_chirila_2016,
mF,yaboona,yaboːna,,,PN1,bowern_chirila_2016,
mF,yabu(na),yapu(na),,,PN1,bowern_chirila_2016,
mM,yaŋa(na),yaŋa(na),,,PN1,bowern_chirila_2016,
mC,wabura,wapuɹa,,,PN1,bowern_chirila_2016,
mC,wulbarana,wulpaɹana,,,PN1,bowern_chirila_2016,
mS,wulbura(na),wulpuɹa(na),,,PN1,bowern_chirila_2016,
mD,banangan,panaŋan,,,PN1,bowern_chirila_2016,
mD,dilanygan,tilaɲkan,,,PN1,bowern_chirila_2016,
mD,yulgugan,yulkukan,,,PN1,bowern_chirila_2016,
mFF,ŋad(hi(na,,,,PN1,bowern_chirila_2016,"I'm not sure what's going on with these parentheses, so I'm leaving them as is"
mFF,ngadhi(na),,,,PN1,bowern_chirila_2016,
mFF,bulu,pulu,,,PN1,bowern_chirila_2016,
mFM,gami(na),kami(na),,,PN1,bowern_chirila_2016,
mFM,gugu,kuku,,,PN1,bowern_chirila_2016,"also glossed as ""cousin"" (?!)"
mFM,bibi(na),pipi(na),,,PN1,bowern_chirila_2016,
mMF,ŋad(hi(na,,,,PN1,bowern_chirila_2016,"I'm not sure what's going on with these parentheses, so I'm leaving them as is"
mMF,ngadhi(na),,,,PN1,bowern_chirila_2016,
mMF,bulu,pulu,,,PN1,bowern_chirila_2016,
mMM,gugu,kuku,,,PN1,bowern_chirila_2016,"also glossed as ""cousin"" (?!)"
mMM,gami(na),kami(na),,,PN1,bowern_chirila_2016,
mMM,bibi(na),pipi(na),,,PN1,bowern_chirila_2016,
