parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mZ,mirtiku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,mungguypa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,muukuy,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,parrpa',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,raapity,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,rirrkminy,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,wakinngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,yapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,nhuupiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,tyukarrngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,waawa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,kutha',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,yukuyuku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,kutha',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,yukuyuku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,kunhu',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,maarlu',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,muuri',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,paapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,tyawurlpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngaarndi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngaarnrti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngama',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngamala,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngamu',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,maari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,maari'mu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,waartaty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,muumu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,ngathi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,maari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,waartaty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,kaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,marratya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,kaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,marratya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,kaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,kutharra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,kaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,kutharra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,kunhu',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,maarlu',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,muuri',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,paapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,mukul,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,muukul,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kawal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,nganakal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,ngapipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,ngapipi\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,ngaarnrti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,ngama',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,ngamala,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,ngamu',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,rlambarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,rlambarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,nganapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,kalay,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,ngarnarnawa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,nganapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,kalay,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,ngarnarnawa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,dhuway,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,nganapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,thuway,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,galay,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,kalay,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,ngarnarnawa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHM,mukul,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWF,rlambarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,kurrung,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,mukul,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,murrngaram,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
