"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mB","procer",,,,"IE526","adams_tocharian_2015-1",""
"mZ","ṣer",,,,"IE526","adams_tocharian_2015-1",""
"mF","pācer",,,,"IE526","adams_tocharian_2015-1",""
"mM","mācer",,,,"IE526","adams_tocharian_2015-1",""
"mC","säsuwerṣke",,,,"IE526","adams_tocharian_2015-1",""
"mS","soy",,,,"IE526","adams_tocharian_2015-1",""
"mD","tkācer",,,,"IE526","adams_tocharian_2015-1",""
"mFF","orotstse-pācer",,,,"IE526","adams_tocharian_2015-1",""
"mMF","orotstse-pācer",,,,"IE526","adams_tocharian_2015-1",""
"mH","petso",,,,"IE526","adams_tocharian_2015-1",""
"mW","śana",,,,"IE526","adams_tocharian_2015-1",""
"meB","procer",,,,"IE526","adams_tocharian_2015-1","Inferred; NA"
"myB","procer",,,,"IE526","adams_tocharian_2015-1","Inferred; NA"
"meZ","ṣer",,,,"IE526","adams_tocharian_2015-1","Inferred; NA"
"myZ","ṣer",,,,"IE526","adams_tocharian_2015-1","Inferred; NA"
"fB","procer",,,,"IE526","adams_tocharian_2015-1",""
"fZ","ṣer",,,,"IE526","adams_tocharian_2015-1",""
"fF","pācer",,,,"IE526","adams_tocharian_2015-1",""
"fM","mācer",,,,"IE526","adams_tocharian_2015-1",""
"fC","säsuwerṣke",,,,"IE526","adams_tocharian_2015-1",""
"fS","soy",,,,"IE526","adams_tocharian_2015-1",""
"fD","tkācer",,,,"IE526","adams_tocharian_2015-1",""
"fFF","orotstse-pācer",,,,"IE526","adams_tocharian_2015-1",""
"fMF","orotstse-pācer",,,,"IE526","adams_tocharian_2015-1",""
"fH","petso",,,,"IE526","adams_tocharian_2015-1",""
"fW","śana",,,,"IE526","adams_tocharian_2015-1",""
"feB","procer",,,,"IE526","adams_tocharian_2015-1","Inferred; NA"
"fyB","procer",,,,"IE526","adams_tocharian_2015-1","Inferred; NA"
"feZ","ṣer",,,,"IE526","adams_tocharian_2015-1","Inferred; NA"
"fyZ","ṣer",,,,"IE526","adams_tocharian_2015-1","Inferred; NA"
