parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,wac,,,,ND11,khalilov_avar_2015-3,вац
mG,yac,,,,ND11,khalilov_avar_2015-3,яц
mB,wac,,,,ND11,khalilov_avar_2015-3,вац
mZ,yac,,,,ND11,khalilov_avar_2015-3,яц
myB,hitʼina wac,,,,ND11,khalilov_avar_2015-3,гьитІина вац
myZ,hitʼina yac,,,,ND11,khalilov_avar_2015-3,гьитІинай яц
mF,emen,,,,ND11,khalilov_avar_2015-3,эмен
mM,ebel,,,,ND11,khalilov_avar_2015-3,эбел
mC,himal-čaʕi,,,,ND11,khalilov_avar_2015-3,гьимал-чагІи
mS,waš̄,,,,ND11,khalilov_avar_2015-3,ващ
mD,yaš̄,,,,ND11,khalilov_avar_2015-3,ящ
mFF,kʼudiya emen,,,,ND11,khalilov_avar_2015-3,кІудия эмен
mFF,maʕadada,,,,ND11,khalilov_avar_2015-3,магІадада
mFM,kʼudiya ebel,,,,ND11,khalilov_avar_2015-3,кІудия эбел
mMF,kʼudiya emen,,,,ND11,khalilov_avar_2015-3,кІудия эмен
mMF,maʕadada,,,,ND11,khalilov_avar_2015-3,магІадада
mMM,kʼudiya ebel,,,,ND11,khalilov_avar_2015-3,кІудия эбел
mSS,waš̄asul waš̄,,,,ND11,khalilov_avar_2015-3,ващасул ващ
mSD,yaš̄aɬul yaš̄,,,,ND11,khalilov_avar_2015-3,ящалъул ящ
mDS,waš̄asul waš̄,,,,ND11,khalilov_avar_2015-3,ващасул ващ
mDD,yaš̄aɬul yaš̄,,,,ND11,khalilov_avar_2015-3,ящалъул ящ
mFB,imʕal,,,,ND11,khalilov_avar_2015-3,имгІал
mFB,daci,,,,ND11,khalilov_avar_2015-3,даци
mFZ,unqʼa,,,,ND11,khalilov_avar_2015-3,ункъа
mMB,imʕal,,,,ND11,khalilov_avar_2015-3,имгІал
mMB,daci,,,,ND11,khalilov_avar_2015-3,даци
mMZ,unqʼa,,,,ND11,khalilov_avar_2015-3,ункъа
mBS,wacasul waš̄,,,,ND11,khalilov_avar_2015-3,вацасул ващ
mBD,wacasul yaš̄,,,,ND11,khalilov_avar_2015-3,вацасул ящ
mZS,wacasul waš̄,,,,ND11,khalilov_avar_2015-3,вацасул ващ
mZD,wacasul yaš̄,,,,ND11,khalilov_avar_2015-3,вацасул ящ
mFZD,wacħal,,,,ND11,khalilov_avar_2015-3,вацхІал
mFZD,yacħal,,,,ND11,khalilov_avar_2015-3,яцхІал
mFBD,wacħal,,,,ND11,khalilov_avar_2015-3,вацхІал
mFBD,yacħal,,,,ND11,khalilov_avar_2015-3,яцхІал
mMBD,wacħal,,,,ND11,khalilov_avar_2015-3,вацхІал
mMBD,yacħal,,,,ND11,khalilov_avar_2015-3,яцхІал
