parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,ndisana,,,,AC156(24),jaques_terms_1929,
mB,hosi ya mina,,,,AC156(24),jaques_terms_1929,
mZ,makweru,,,,AC156(24),jaques_terms_1929,
meB,hosi ya mina,,,,AC156(24),jaques_terms_1929,
myB,ndisana,,,,AC156(24),jaques_terms_1929,
meZ,hosi,,,,AC156(24),jaques_terms_1929,
myZ,ndisana,,,,AC156(24),jaques_terms_1929,
mF,tatana,,,,AC156(24),jaques_terms_1929,
mM,manana,,,,AC156(24),jaques_terms_1929,
mS,ngwana,,,,AC156(24),jaques_terms_1929,
mD,ngwana,,,,AC156(24),jaques_terms_1929,
mFF,kokwane,,,,AC156(24),jaques_terms_1929,
mFM,kokwane,,,,AC156(24),jaques_terms_1929,
mMF,kokwane,,,,AC156(24),jaques_terms_1929,
mMM,kokwane,,,,AC156(24),jaques_terms_1929,
mSS,ntukulu,,,,AC156(24),jaques_terms_1929,
mSD,ntukulu,,,,AC156(24),jaques_terms_1929,
mDS,ntukulu,,,,AC156(24),jaques_terms_1929,
mDD,ntukulu,,,,AC156(24),jaques_terms_1929,
mFZ,hahane,,,,AC156(24),jaques_terms_1929,
mMB,kokwane,,,,AC156(24),jaques_terms_1929,
mMB,malume,,,,AC156(24),jaques_terms_1929,
mFeB,tatana lo'nkulu,,,,AC156(24),jaques_terms_1929,
mFyB,tatana lo'ntsongo,,,,AC156(24),jaques_terms_1929,
mMeZ,manana lo'nkulu,,,,AC156(24),jaques_terms_1929,
mMyZ,manana lo'tongo,,,,AC156(24),jaques_terms_1929,
mBS,ngwana,,,,AC156(24),jaques_terms_1929,
mBD,ngwana,,,,AC156(24),jaques_terms_1929,
mZS,ntukulu,,,,AC156(24),jaques_terms_1929,
mZD,ntukulu,,,,AC156(24),jaques_terms_1929,
mFZD,ntukulu,,,,AC156(24),jaques_terms_1929,
mMBD,manana kokwane,,,,AC156(24),jaques_terms_1929,
mMZD,makweru,,,,AC156(24),jaques_terms_1929,
mFZS,ntukulu,,,,AC156(24),jaques_terms_1929,
mMBS,kokwane,,,,AC156(24),jaques_terms_1929,
mMZS,makweru,,,,AC156(24),jaques_terms_1929,
