parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,mukulu,,,,AC45(267),ceyssens_pouvoir_1984,
mF,taata,,,,AC45(266),ceyssens_pouvoir_1984,
mM,maama,,,,AC45(266),ceyssens_pouvoir_1984,
mC,mwana,,,,AC45(266),ceyssens_pouvoir_1984,
meS,kaayi,,,,AC45(274),ceyssens_pouvoir_1984,
mPP,nkaaka,,,,AC45(266),ceyssens_pouvoir_1984,
mCC,mukaakana,,,,AC45(266),ceyssens_pouvoir_1984,
mFZ,taata mukaatu,,,,AC45(267),ceyssens_pouvoir_1984,
mBS,mwana,,,,AC45(268),ceyssens_pouvoir_1984,
mBD,mwana,,,,AC45(268),ceyssens_pouvoir_1984,
mZS,mwewu,,,,AC45(268),ceyssens_pouvoir_1984,
mZD,mwewu,,,,AC45(268),ceyssens_pouvoir_1984,
mFZD,musonyi,,,,AC45(268),ceyssens_pouvoir_1984,crossed cousin
mMBD,musonyi,,,,AC45(268),ceyssens_pouvoir_1984,crossed cousin
mFZS,musonyi,,,,AC45(268),ceyssens_pouvoir_1984,crossed cousin
mMBS,musonyi,,,,AC45(268),ceyssens_pouvoir_1984,crossed cousin
mFBeS,mukulu,,,,AC45(267),ceyssens_pouvoir_1984,if older than Ego
mFByS,munkunyi,,,,AC45(267),ceyssens_pouvoir_1984,if younger than Ego
mFZeS,mukulu,,,,AC45(267),ceyssens_pouvoir_1984,if older than Ego
mFZyS,munkunyi,,,,AC45(267),ceyssens_pouvoir_1984,if younger than Ego
mMBeS,mukulu,,,,AC45(267),ceyssens_pouvoir_1984,if older than Ego
mMByS,munkunyi,,,,AC45(267),ceyssens_pouvoir_1984,if younger than Ego
mMZeS,mukulu,,,,AC45(267),ceyssens_pouvoir_1984,if older than Ego
mMZyS,munkunyi,,,,AC45(267),ceyssens_pouvoir_1984,if younger than Ego
mH,mulumi,,,,AC45(268),ceyssens_pouvoir_1984,
mW,mukadi,,,,AC45(268),ceyssens_pouvoir_1984,
mBW,nkwedi,,,,AC45(269),ceyssens_pouvoir_1984,
mZH,nkwedi,,,,AC45(269),ceyssens_pouvoir_1984,
mWB,nkwedi,,,,AC45(269),ceyssens_pouvoir_1984,
mWZ,nkwedi,,,,AC45(269),ceyssens_pouvoir_1984,
mHB,nkwedi,,,,AC45(269),ceyssens_pouvoir_1984,
