parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,ndugu,,,,AC80(131),mwalonya_mgombato_2006,
mB,kaka,,,,AC80(69),mwalonya_mgombato_2006,
mZ,dada,,,,AC80(36),mwalonya_mgombato_2006,
meB,mvyere,,,,AC80(121),mwalonya_mgombato_2006,
myB,mdide,,,,AC80(100),mwalonya_mgombato_2006,
meZ,mvyere,,,,AC80(121),mwalonya_mgombato_2006,
myZ,mdide,,,,AC80(100),mwalonya_mgombato_2006,
mP,mvyazi,,,,AC80(121),mwalonya_mgombato_2006,
mF,baba,,,,AC80(7),mwalonya_mgombato_2006,
mM,mayo,,,,AC80(97),mwalonya_mgombato_2006,
mC,mwana,,,,AC80(123),mwalonya_mgombato_2006,
mA,mkare,,,,AC80(107),mwalonya_mgombato_2006,
mFF,tsawe,,,,AC80(177),mwalonya_mgombato_2006,
mFM,wawa,,,,AC80(195),mwalonya_mgombato_2006,
mMF,tsawe,,,,AC80(177),mwalonya_mgombato_2006,
mMM,wawa,,,,AC80(195),mwalonya_mgombato_2006,
mCC,mdzukulu,,,,AC80(101),mwalonya_mgombato_2006,
mSS,mdzukulu,,,,AC80(101),mwalonya_mgombato_2006,
mSD,mdzukulu,,,,AC80(101),mwalonya_mgombato_2006,
mDS,mdzukulu,,,,AC80(101),mwalonya_mgombato_2006,
mDD,mdzukulu,,,,AC80(101),mwalonya_mgombato_2006,
mFB,baba,,,,AC80(7),mwalonya_mgombato_2006,
mFZ,shangazi,,,,AC80(163),mwalonya_mgombato_2006,
mMB,aphu,,,,AC80(5),mwalonya_mgombato_2006,
mMZ,mayo,,,,AC80(97),mwalonya_mgombato_2006,
mFeB,baba mvyere,,,,AC80(7),mwalonya_mgombato_2006,
mFyB,baba mdide,,,,AC80(7),mwalonya_mgombato_2006,
mMeZ,mayo mvyere,,,,AC80(121),mwalonya_mgombato_2006,
mMyZ,mayo mdide,,,,AC80(101),mwalonya_mgombato_2006,
mZS,muwa,,,muwangu,AC80(120),mwalonya_mgombato_2006,
mZD,muwa,,,muwangu,AC80(120),mwalonya_mgombato_2006,
mFZD,mkpwoi,,,,AC80(107),mwalonya_mgombato_2006,
mFBD,mwenenu,,,,AC80(125),mwalonya_mgombato_2006,
mMBD,mkpwoi,,,,AC80(107),mwalonya_mgombato_2006,
mMZD,mwenenu,,,,AC80(125),mwalonya_mgombato_2006,
mFBS,mwenenu,,,,AC80(125),mwalonya_mgombato_2006,
mFZS,mkpwoi,,,,AC80(107),mwalonya_mgombato_2006,
mMBS,mkpwoi,,,,AC80(107),mwalonya_mgombato_2006,
mMZS,mwenenu,,,,AC80(125),mwalonya_mgombato_2006,
mH,mlume,,,,AC80(110),mwalonya_mgombato_2006,
mW,mchetu,,,,AC80(100),mwalonya_mgombato_2006,
mHF,baba vyala,,,,AC80(7),mwalonya_mgombato_2006,
