parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mZ,muhela,,,,AC127(20),mcculloch_southern_1951,
meB,yaya,,,,AC127(20),mcculloch_southern_1951,
myB,mwanyikami,,,,AC127(20),mcculloch_southern_1951,
meZ,yaya,,,,AC127(20),mcculloch_southern_1951,
myZ,mwanyikami,,,,AC127(20),mcculloch_southern_1951,
mM,mama,,,,AC127(20),mcculloch_southern_1951,
mS,mwana,,,,AC127(20),mcculloch_southern_1951,
mD,mwana,,,,AC127(20),mcculloch_southern_1951,
mPP,nkaka,,,,AC127(20),mcculloch_southern_1951,
mFF,nkaka,,,,AC127(20),mcculloch_southern_1951,
mFM,nkaka,,,,AC127(20),mcculloch_southern_1951,
mMF,nkaka,,,,AC127(20),mcculloch_southern_1951,
mMM,nkaka,,,,AC127(20),mcculloch_southern_1951,
mCC,mwizukulu,,,,AC127(20),mcculloch_southern_1951,
mSS,mwizukulu,,,,AC127(20),mcculloch_southern_1951,
mSD,mwizukulu,,,,AC127(20),mcculloch_southern_1951,
mDS,mwizukulu,,,,AC127(20),mcculloch_southern_1951,
mDD,mwizukulu,,,,AC127(20),mcculloch_southern_1951,
mFB,tata,,,,AC127(20),mcculloch_southern_1951,
mFZ,tatankaji,,,,AC127(20),mcculloch_southern_1951,
mMB,mandumi,,,,AC127(20),mcculloch_southern_1951,
mMZ,mama,,,,AC127(20),mcculloch_southern_1951,
mBS,mwana,,,,AC127(20),mcculloch_southern_1951,
mBD,mwana,,,,AC127(20),mcculloch_southern_1951,
mZS,mwihwa,,,,AC127(20),mcculloch_southern_1951,
mZD,mwihwa,,,,AC127(20),mcculloch_southern_1951,
mFZD,musonoi,,,,AC127(20),mcculloch_southern_1951,
mFBD,muhela,,,,AC127(20),mcculloch_southern_1951,
mMBD,musonoi,,,,AC127(20),mcculloch_southern_1951,
mMZD,muhela,,,,AC127(20),mcculloch_southern_1951,
mFZS,musonoi,,,,AC127(20),mcculloch_southern_1951,
mMBS,musonoi,,,,AC127(20),mcculloch_southern_1951,
mFBeS,yaya,,,,AC127(20),mcculloch_southern_1951,
mFByS,mwanyikami,,,,AC127(20),mcculloch_southern_1951,
mMZeS,yaya,,,,AC127(20),mcculloch_southern_1951,
mMZyS,mwanyikami,,,,AC127(20),mcculloch_southern_1951,
mH,nfumwani,,,,AC127(19),mcculloch_southern_1951,
mHF,muku,,,,AC127(19),mcculloch_southern_1951,
mHM,muku,,,,AC127(19),mcculloch_southern_1951,
mWF,muku,,,,AC127(19),mcculloch_southern_1951,
mWM,muku,,,,AC127(19),mcculloch_southern_1951,
mWB,ishaku,,,,AC127(19),mcculloch_southern_1951,
mWZ,ishaku,,,,AC127(19),mcculloch_southern_1951,
mHB,ishaku,,,,AC127(19),mcculloch_southern_1951,
mHZ,ishaku,,,,AC127(19),mcculloch_southern_1951,
mco-W,adya,,,,AC127(19),mcculloch_southern_1951,senior wife
mSW,muku,,,,AC127(19),mcculloch_southern_1951,
mDH,muku,,,,AC127(19),mcculloch_southern_1951,
mFZH,mandumi,,,,AC127(20),mcculloch_southern_1951,
mFBW,mama,,,,AC127(20),mcculloch_southern_1951,
mMZH,tata,,,,AC127(20),mcculloch_southern_1951,
mMBW,mukuwami,,,,AC127(20),mcculloch_southern_1951,
mFeZ,tatankaji,,,,AC127(20),mcculloch_southern_1951,Inferred; NA
mFyZ,tatankaji,,,,AC127(20),mcculloch_southern_1951,Inferred; NA
mMeB,mandumi,,,,AC127(20),mcculloch_southern_1951,Inferred; NA
mMyB,mandumi,,,,AC127(20),mcculloch_southern_1951,Inferred; NA
meBS,mwana,,,,AC127(20),mcculloch_southern_1951,Inferred; NA
myBS,mwana,,,,AC127(20),mcculloch_southern_1951,Inferred; NA
meBD,mwana,,,,AC127(20),mcculloch_southern_1951,Inferred; NA
myBD,mwana,,,,AC127(20),mcculloch_southern_1951,Inferred; NA
