"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","(pə)hari?+n (l)aki? (aiəŋ) aya?",,"male ego's older brother",,,,
"myB","(pə)hari?+n (l)aki (aiəŋ) (du)?uk",,"male ego's younger brother",,,,
"feB","(pə)hari?+n (l)aki? (aiəŋ) aya?",,"female ego's older brother",,,,
"fyB","(pə)hari?+n (l)aki (aiəŋ) (du)?uk",,"female ego's younger brother",,,,
"meZ","(pə)hari?+n duh (aiəŋ) aya?",,"male ego's older sister",,,,
"myZ","(pə)hari?+n duh (aiəŋ) (du)?uk",,"male ego's younger sister",,,,
"feZ","(pə)hari?+n duh (aiəŋ) aya?",,"female ego's older sister",,,,
"fyZ","(pə)hari?+n duh (aiəŋ) (du)?uk",,"female ego's younger sister",,,,
"mF","tama+n",,"male ego's father",,,,
"mM","hina+n",,"male ego's mother",,,,
"fF","tama+n",,"female ego's father",,,,
"fM","hina+n",,"female ego's mother",,,,
"mS","anak (l)aki?",,"male ego's son",,,,
"fS","anak (l)aki?",,"female ego's son",,,,
"mD","anak duh",,"male ego's daughter",,,,
"fD","anak duh",,"female ego's daughter",,,,
"mSS","so",,"male ego's son's son",,,,
"mSD","so",,"male ego's son's daughter",,,,
"mDS","so",,"male ego's daughter's son",,,,
"mDD","so",,"male ego's daughter's daughter",,,,
"fSS","so",,"female ego's son's son",,,,
"fSD","so",,"female ego's son's daughter",,,,
"fDS","so",,"female ego's daughter's son",,,,
"fDD","so",,"female ego's daugher's daughter",,,,
"mFF","huku (l)aki?",,"male ego's father‘s father",,,,
"mFM","huku duh",,"male ego's father's mother",,,,
"mMF","huku (l)aki?",,"male ego's mother's father",,,,
"mMM","huku duh",,"male ego's mother's mother",,,,
"fFF","huku (l)aki?",,"female ego's father's father",,,,
"fFM","huku duh",,"female ego's father's mother",,,,
"fMF","huku (l)aki?",,"female ego's mother's father",,,,
"fMM","huku duh",,"female ego's mother's mother",,,,
"meBS","anak",,"male ego's older brother's son",,,,
"myBS","anak",,"male ego's younger brother's son",,,,
"meZS","anak",,"male ego's older sister's son",,,,
"myZS","anak",,"male ego's younger sister's son",,,,
"meBD","anak",,"male ego's older brother's daughter",,,,
"myBD","anak",,"male ego's younger brother's daughter",,,,
"meZD","anak",,"male ego's older sister's daughter",,,,
"myZD","anak",,"male ego's younger sister's daughter",,,,
"feBS","anak",,"female ego's older brother's son",,,,
"fyBS","anak",,"female ego's younger brother's son",,,,
"feZS","anak",,"female ego's older sister's son",,,,
"fyZS","anak",,"female ego's younger sister's son",,,,
"feBD","anak",,"female ego's older brother's daughter",,,,
"fyBD","anak",,"female ego's younger brother's daughter",,,,
"feZD","anak",,"female ego's older sister's daughter",,,,
"fyZD","anak",,"female ego's younger sister's daughter",,,,
"mFeB","tama+n",,"male ego's father's older brother",,,,
"mFyB","tama+n",,"male ego's father's younger brother",,,,
"mFeZ","hina+n",,"male ego's father's older sister",,,,
"mFyZ","hina+n",,"male ego's father's younger sister",,,,
"mMeB","tama+n",,"male ego's mother's older brother",,,,
"mMyB","tama+n",,"male ego's mother's younger brother",,,,
"mMeZ","hina+n",,"male ego's mother's older sister",,,,
"mMyZ","hina+n",,"male ego's mother's younger sister",,,,
"fFeB","tama+n",,"female ego's father's older brother",,,,
"fFyB","tama+n",,"female ego's father's younger brother",,,,
"fFeZ","hina+n",,"female ego's father's older sister",,,,
"fFyZ","hina+n",,"female ego's father's younger sister",,,,
"fMeB","tama+n",,"female ego's mother's older brother",,,,
"fMyB","tama+n",,"female ego's mother's younger brother",,,,
"fMeZ","hina+n",,"female ego's mother's older sister",,,,
"fMyZ","hina+n",,"female ego's mother's younger sister",,,,
"mW","hawa+n",,"male ego's wife",,,,
"fH","hawa+n",,"female ego‘s husband",,,,
"mDH","anak hənduŋ",,"male ego's daughter's husband",,,,
"fDH","anak hənduŋ",,"female ego's daughter's husband",,,,
"mSW","anak hənduŋ",,"male ego's son's wife",,,,
"fSW","anak hənduŋ",,"female ego's son's wife",,,,
"mWF","tama+n hənduŋ",,"male ego's wife's father",,,,
"mWM","hina+n hənduŋ",,"male ego's wife's mother",,,,
"mWB","haŋu",,"male ego's wife's brother",,,,
