parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,kaka,,male ego's older brother,,,,
myB,ari,,male ego's younger brother,,,,
feB,kaka,,female ego's older brother,,,,
fyB,ari,,female ego's younger brother,,,,
meZ,kaka,,male ego's older sister,,,,
myZ,ari,,male ego's younger sister,,,,
feZ,kaka,,female ego's older sister,,,,
fyZ,ari,,female ego's younger sister,,,,
mF,ama,,male ego's father,,,,
mM,ina,,male ego's mother,,,,
fF,ama,,female ego's father,,,,
fM,ina,,female ego's mother,,,,
mS,wata,,male ego's son,,,,
fS,wata,,female ego's son,,,,
mD,wata,,male ego's daughter,,,,
fD,wata,,female ego's daughter,,,,
mFF,apo,,male ego's father‘s father,,,,
mFM,apo,,male ego's father's mother,,,,
mMF,apo,,male ego's mother's father,,,,
mMM,apo,,male ego's mother's mother,,,,
fFF,apo,,female ego's father's father,,,,
fFM,apo,,female ego's father's mother,,,,
fMF,apo,,female ego's mother's father,,,,
fMM,apo,,female ego's mother's mother,,,,
mFeB,bapa,,male ego's father's older brother,,,,
mFyB,bapa,,male ego's father's younger brother,,,,
mFeZ,babu,,male ego's father's older sister,,,,
mFyZ,babu,,male ego's father's younger sister,,,,
mMeB,bapa,,male ego's mother's older brother,,,,
mMyB,bapa,,male ego's mother's younger brother,,,,
mMeZ,babu,,male ego's mother's older sister,,,,
mMyZ,babu,,male ego's mother's younger sister,,,,
fFeB,bapa,,female ego's father's older brother,,,,
fFyB,bapa,,female ego's father's younger brother,,,,
fFeZ,babu,,female ego's father's older sister,,,,
fFyZ,babu,,female ego's father's younger sister,,,,
fMeB,bapa,,female ego's mother's older brother,,,,
fMyB,bapa,,female ego's mother's younger brother,,,,
fMeZ,babu,,female ego's mother's older sister,,,,
fMyZ,babu,,female ego's mother's younger sister,,,,
mW,karoma,,male ego's wife,,,,
mFBS,"tüngud, tǔngǔd, tungut",,male ego's father's brother's son,,,,
mFZS,"tüngud, tǔngǔd, tungut",,male ego's father's sister's son,,,,
mMBS,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's son,,,,
mMZS,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's son,,,,
mFBD,"tüngud, tǔngǔd, tungut",,male ego's father's brother's daughter,,,,
mFZD,"tüngud, tǔngǔd, tungut",,male ego's father's sister's daughter,,,,
mMBD,"tüngud, tǔngǔd, tungut",,male ego's mother's brother's daughter,,,,
mMZD,"tüngud, tǔngǔd, tungut",,male ego's mother's sister's daughter,,,,
fFBS,"tüngud, tǔngǔd, tungut",,female ego's father's brother's son,,,,
fFZS,"tüngud, tǔngǔd, tungut",,female ego's father's sister's son,,,,
fMBS,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's son,,,,
fMZS,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's son,,,,
fFBD,"tüngud, tǔngǔd, tungut",,female ego's father's brother's daughter,,,,
fFZD,"tüngud, tǔngǔd, tungut",,female ego's father's sister's daughter,,,,
fMBD,"tüngud, tǔngǔd, tungut",,female ego's mother's brother's daughter,,,,
fMZD,"tüngud, tǔngǔd, tungut",,female ego's mother's sister's daughter,,,,
