"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","aka",,"male ego's older brother",,,,
"myB","uai",,"male ego's younger brother",,,,
"feB","aka",,"female ego's older brother",,,,
"fyB","uai",,"female ego's younger brother",,,,
"meZ","aka",,"male ego's older sister",,,,
"myZ","uai",,"male ego's younger sister",,,,
"feZ","aka",,"female ego's older sister",,,,
"fyZ","uai",,"female ego's younger sister",,,,
"mF","ama",,"male ego's father",,,,
"mM","ine",,"male ego's mother",,,,
"fF","ama",,"female ego's father",,,,
"fM","ine",,"female ego's mother",,,,
"mS","ana",,"male ego's son",,,,
"fS","ana",,"female ego's son",,,,
"mD","ana",,"male ego's daughter",,,,
"fD","ana",,"female ego's daughter",,,,
"mSS","ue",,"male ego's son's son",,,,
"mSD","ue",,"male ego's son's daughter",,,,
"mDS","ue",,"male ego's daughter's son",,,,
"mDD","ue",,"male ego's daughter's daughter",,,,
"fSS","ue",,"female ego's son's son",,,,
"fSD","ue",,"female ego's son's daughter",,,,
"fDS","ue",,"female ego's daughter's son",,,,
"fDD","ue",,"female ego's daugher's daughter",,,,
"mFF","ue",,"male ego's father‘s father",,,,
"mFM","ue",,"male ego's father's mother",,,,
"mMF","ue",,"male ego's mother's father",,,,
"mMM","ue",,"male ego's mother's mother",,,,
"fFF","ue",,"female ego's father's father",,,,
"fFM","ue",,"female ego's father's mother",,,,
"fMF","ue",,"female ego's mother's father",,,,
"fMM","ue",,"female ego's mother's mother",,,,
"meBS","lakiana",,"male ego's older brother's son",,,,
"myBS","lakiana",,"male ego's younger brother's son",,,,
"meZS","lakiana",,"male ego's older sister's son",,,,
"myZS","lakiana",,"male ego's younger sister's son",,,,
"meBD","lakiana",,"male ego's older brother's daughter",,,,
"myBD","lakiana",,"male ego's younger brother's daughter",,,,
"meZD","lakiana",,"male ego's older sister's daughter",,,,
"myZD","lakiana",,"male ego's younger sister's daughter",,,,
"feBS","lakiana",,"female ego's older brother's son",,,,
"fyBS","lakiana",,"female ego's younger brother's son",,,,
"feZS","lakiana",,"female ego's older sister's son",,,,
"fyZS","lakiana",,"female ego's younger sister's son",,,,
"feBD","lakiana",,"female ego's older brother's daughter",,,,
"fyBD","lakiana",,"female ego's younger brother's daughter",,,,
"feZD","lakiana",,"female ego's older sister's daughter",,,,
"fyZD","lakiana",,"female ego's younger sister's daughter",,,,
"mFeB","maama",,"male ego's father's older brother",,,,
"mFyB","maama",,"male ego's father's younger brother",,,,
"mFeZ","naine",,"male ego's father's older sister",,,,
"mFyZ","naine",,"male ego's father's younger sister",,,,
"mMeB","maama",,"male ego's mother's older brother",,,,
"mMyB","maama",,"male ego's mother's younger brother",,,,
"mMeZ","naine",,"male ego's mother's older sister",,,,
"mMyZ","naine",,"male ego's mother's younger sister",,,,
"fFeB","maama",,"female ego's father's older brother",,,,
"fFyB","maama",,"female ego's father's younger brother",,,,
"fFeZ","naine",,"female ego's father's older sister",,,,
"fFyZ","naine",,"female ego's father's younger sister",,,,
"fMeB","maama",,"female ego's mother's older brother",,,,
"fMyB","maama",,"female ego's mother's younger brother",,,,
"fMeZ","naine",,"female ego's mother's older sister",,,,
"fMyZ","naine",,"female ego's mother's younger sister",,,,
"mW","kombia, beineno",,"male ego's wife",,,,
"fH","kombia, tamano",,"female ego‘s husband",,,,
