"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","magulang",,"male ego's older brother",,,,
"myB","manghud",,"male ego's younger brother",,,,
"feB","magulang",,"female ego's older brother",,,,
"fyB","manghud",,"female ego's younger brother",,,,
"meZ","magulang",,"male ego's older sister",,,,
"myZ","manghud",,"male ego's younger sister",,,,
"feZ","magulang",,"female ego's older sister",,,,
"fyZ","manghud",,"female ego's younger sister",,,,
"mF","ama'",,"male ego's father",,,,
"mM","ina'",,"male ego's mother",,,,
"fF","ama'",,"female ego's father",,,,
"fM","ina'",,"female ego's mother",,,,
"mS","anak",,"male ego's son",,,,
"fS","anak",,"female ego's son",,,,
"mD","anak",,"male ego's daughter",,,,
"fD","anak",,"female ego's daughter",,,,
"mSS","apu'",,"male ego's son's son",,,,
"mSD","apu'",,"male ego's son's daughter",,,,
"mDS","apu'",,"male ego's daughter's son",,,,
"mDD","apu'",,"male ego's daughter's daughter",,,,
"fSS","apu'",,"female ego's son's son",,,,
"fSD","apu'",,"female ego's son's daughter",,,,
"fDS","apu'",,"female ego's daughter's son",,,,
"fDD","apu'",,"female ego's daugher's daughter",,,,
"mFF","apu'",,"male ego's father‘s father",,,,
"mFM","apu'",,"male ego's father's mother",,,,
"mMF","apu'",,"male ego's mother's father",,,,
"mMM","apu'",,"male ego's mother's mother",,,,
"fFF","apu'",,"female ego's father's father",,,,
"fFM","apu'",,"female ego's father's mother",,,,
"fMF","apu'",,"female ego's mother's father",,,,
"fMM","apu'",,"female ego's mother's mother",,,,
"meBS","anakun",,"male ego's older brother's son",,,,
"myBS","anakun",,"male ego's younger brother's son",,,,
"meZS","anakun",,"male ego's older sister's son",,,,
"myZS","anakun",,"male ego's younger sister's son",,,,
"meBD","anakun",,"male ego's older brother's daughter",,,,
"myBD","anakun",,"male ego's younger brother's daughter",,,,
"meZD","anakun",,"male ego's older sister's daughter",,,,
"myZD","anakun",,"male ego's younger sister's daughter",,,,
"feBS","anakun",,"female ego's older brother's son",,,,
"fyBS","anakun",,"female ego's younger brother's son",,,,
"feZS","anakun",,"female ego's older sister's son",,,,
"fyZS","anakun",,"female ego's younger sister's son",,,,
"feBD","anakun",,"female ego's older brother's daughter",,,,
"fyBD","anakun",,"female ego's younger brother's daughter",,,,
"feZD","anakun",,"female ego's older sister's daughter",,,,
"fyZD","anakun",,"female ego's younger sister's daughter",,,,
"mFeB","bapa', amaun",,"male ego's father's older brother",,,,
"mFyB","bapa', amaun",,"male ego's father's younger brother",,,,
"mFeZ","bapu', inaun",,"male ego's father's older sister",,,,
"mFyZ","bapu', inaun",,"male ego's father's younger sister",,,,
"mMeB","bapa', amaun",,"male ego's mother's older brother",,,,
"mMyB","bapa', amaun",,"male ego's mother's younger brother",,,,
"mMeZ","bapu', inaun",,"male ego's mother's older sister",,,,
"mMyZ","bapu', inaun",,"male ego's mother's younger sister",,,,
"fFeB","bapa', amaun",,"female ego's father's older brother",,,,
"fFyB","bapa', amaun",,"female ego's father's younger brother",,,,
"fFeZ","bapu', inaun",,"female ego's father's older sister",,,,
"fFyZ","bapu', inaun",,"female ego's father's younger sister",,,,
"fMeB","bapa', amaun",,"female ego's mother's older brother",,,,
"fMyB","bapa', amaun",,"female ego's mother's younger brother",,,,
"fMeZ","bapu', inaun",,"female ego's mother's older sister",,,,
"fMyZ","bapu', inaun",,"female ego's mother's younger sister",,,,
"mW","tag-bay, asawa",,"male ego's wife",,,,
"fH","tag-bay, bana",,"female ego‘s husband",,,,
"mDH","ugangan",,"male ego's daughter's husband",,,,
"fDH","ugangan",,"female ego's daughter's husband",,,,
"mSW","ugangan",,"male ego's son's wife",,,,
"fSW","ugangan",,"female ego's son's wife",,,,
"mWF","ugangan",,"male ego's wife's father",,,,
"mWM","ugangan",,"male ego's wife's mother",,,,
"fHF","ugangan",,"female ego's husband's father",,,,
"fHM","ugangan",,"female ego's husband's mother",,,,
"mFBS","patungud",,"male ego's father's brother's son",,,,
"mFZS","patungud",,"male ego's father's sister's son",,,,
"mMBS","patungud",,"male ego's mother's brother's son",,,,
"mMZS","patungud",,"male ego's mother's sister's son",,,,
"mFBD","patungud",,"male ego's father's brother's daughter",,,,
"mFZD","patungud",,"male ego's father's sister's daughter",,,,
"mMBD","patungud",,"male ego's mother's brother's daughter",,,,
