"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tuang",,"male ego's older brother",,,,""
"myB","tasing",,"male ego's younger brother",,,,""
"feB","maning",,"female ego's older brother",,,,""
"fyB","maning",,"female ego's younger brother",,,,""
"meZ","vivining",,"male ego's older sister",,,,""
"myZ","livinging",,"male ego's younger sister",,,,""
"feZ","tuang avin",,"female ego's older sister",,,,""
"fyZ","tasing avin",,"female ego's younger sister",,,,""
"mF","mom",,"male ego's father",,,,""
"mM","galu",,"male ego's mother",,,,""
"fF","mom",,"female ego's father",,,,""
"fM","galu",,"female ego's mother",,,,""
"mS","atung",,"male ego's son",,,,""
"fS","atung",,"female ego's son",,,,""
"mD","atungavin",,"male ego's daughter",,,,""
"fD","atungavin",,"female ego's daughter",,,,""
"mSS","iimbung",,"male ego's son's son",,,,""
"mSD","iimbung",,"male ego's son's daughter",,,,""
"mDS","iimbung",,"male ego's daughter's son",,,,""
"mDD","iimbung",,"male ego's daughter's daughter",,,,""
"fSS","iimbung",,"female ego's son's son",,,,""
"fSD","iimbung",,"female ego's son's daughter",,,,""
"fDS","iimbung",,"female ego's daughter's son",,,,""
"fDD","iimbung",,"female ego's daugher's daughter",,,,""
"mFF","mbrum",,"male ego's father‘s father",,,,""
"mFM","nambwa, mbwai",,"male ego's father's mother",,,,""
"mMF","mbrum",,"male ego's mother's father",,,,""
"mMM","nambwa, mbwai",,"male ego's mother's mother",,,,""
"fFF","mbrum",,"female ego's father's father",,,,""
"fFM","nambwa, mbwai",,"female ego's father's mother",,,,""
"fMF","mbrum",,"female ego's mother's father",,,,""
"fMM","nambwa, mbwai",,"female ego's mother's mother",,,,""
"meZS","löwang tanai",,"male ego's older sister's son",,,,""
"myZS","löwang tanai",,"male ego's younger sister's son",,,,""
"feBS","atung",,"female ego's older brother's son",,,,""
"fyBS","atung",,"female ego's younger brother's son",,,,""
"feBD","atung",,"female ego's older brother's daughter",,,,""
"fyBD","atung",,"female ego's younger brother's daughter",,,,""
"mFeZ","galam",,"male ego's father's older sister",,,,""
"mFyZ","galam",,"male ego's father's younger sister",,,,""
"mMeB","ndat tanai",,"male ego's mother's older brother",,,,""
"mMyB","ndat tanai",,"male ego's mother's younger brother",,,,""
"fFeZ","galam",,"female ego's father's older sister",,,,""
"fFyZ","galam",,"female ego's father's younger sister",,,,""
"fMeB","ndat tanai",,"female ego's mother's older brother",,,,""
"fMyB","ndat tanai",,"female ego's mother's younger brother",,,,""
"mDH","hallakh",,"male ego's daughter's husband",,,,""
"fDH","hallakh",,"female ego's daughter's husband",,,,""
"mSW","villakh",,"male ego's son's wife",,,,""
"fSW","villakh",,"female ego's son's wife",,,,""
"mWF","mwatanan",,"male ego's wife's father",,,,""
"mWM","tiperrnen",,"male ego's wife's mother",,,,""
"mWB","muut tlöl",,"male ego's wife's brother",,,,""
"fHF","mwatanan",,"female ego's husband's father",,,,""
"fHM","tiperrnen",,"female ego's husband's mother",,,,""
"fHB","tuang",,"female ego's husband's brother",,,,"tuang = elder brother"
"fHZ","avin tlöl",,"female ego's husband's sister",,,,""
"mZH","hallakh",,"male ego's sister's husband",,,,""
"mFZS","momlenei",,"male ego's father's sister's son",,,,""
"mMBS","atung (nggöt)",,"male ego's mother's brother's son",,,,""
"mFZD","galele",,"male ego's father's sister's daughter",,,,""
"mMBD","atung (nggöt)",,"male ego's mother's brother's daughter",,,,""
"fFZS","momlenei",,"female ego's father's sister's son",,,,""
"fMBS","atung (nggöt)",,"female ego's mother's brother's son",,,,""
"fFZD","galele",,"female ego's father's sister's daughter",,,,""
"fMBD","atung (nggöt)",,"female ego's mother's brother's daughter",,,,""
