parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,sia'a,,male ego's older brother,,,,
myB,tuai,,male ego's younger brother,,,,
feB,sia'a,,female ego's older brother,,,,
fyB,tuai,,female ego's younger brother,,,,
meZ,sia'a,,male ego's older sister,,,,
myZ,tuai,,male ego's younger sister,,,,
feZ,sia'a,,female ego's older sister,,,,
fyZ,tuai,,female ego's younger sister,,,,
mF,siama,,male ego's father,,,,
mM,"siina, si'inag",,male ego's mother,,,,
fF,siama,,female ego's father,,,,
fM,"siina, si'inag",,female ego's mother,,,,
mS,unga,,male ego's son,,,,
fS,unga,,female ego's son,,,,
mD,unga,,male ego's daughter,,,,
fD,unga,,female ego's daughter,,,,
mSS,mo'upu,,male ego's son's son,,,,
mSD,mo'upu,,male ego's son's daughter,,,,
mDS,mo'upu,,male ego's daughter's son,,,,
mDD,mo'upu,,male ego's daughter's daughter,,,,
fSS,mo'upu,,female ego's son's son,,,,
fSD,mo'upu,,female ego's son's daughter,,,,
fDS,mo'upu,,female ego's daughter's son,,,,
fDD,mo'upu,,female ego's daugher's daughter,,,,
mFF,"kakai, siopu langkai",,male ego's father‘s father,,,,
mFM,"sibengkel, keke -nye, siopu 'ebengkel",,male ego's father's mother,,,,
mMF,"kakai, siopu langkai",,male ego's mother's father,,,,
mMM,"sibengkel, keke -nye, siopu 'ebengkel",,male ego's mother's mother,,,,
fFF,"kakai, siopu langkai",,female ego's father's father,,,,
fFM,"sibengkel, keke -nye, siopu 'ebengkel",,female ego's father's mother,,,,
fMF,"kakai, siopu langkai",,female ego's mother's father,,,,
fMM,"sibengkel, keke -nye, siopu 'ebengkel",,female ego's mother's mother,,,,
meBS,ponungao,,male ego's older brother's son,,,,
myBS,ponungao,,male ego's younger brother's son,,,,
meZS,ponungao,,male ego's older sister's son,,,,
myZS,ponungao,,male ego's younger sister's son,,,,
meBD,ponungao,,male ego's older brother's daughter,,,,
myBD,ponungao,,male ego's younger brother's daughter,,,,
meZD,ponungao,,male ego's older sister's daughter,,,,
myZD,ponungao,,male ego's younger sister's daughter,,,,
feBS,ponungao,,female ego's older brother's son,,,,
fyBS,ponungao,,female ego's younger brother's son,,,,
