"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","sia'a, kaka -nyo",,"male ego's older brother",,,,
"myB","tuai, totuai",,"male ego's younger brother",,,,
"feB","sia'a, kaka -nyo",,"female ego's older brother",,,,
"fyB","tuai, totuai",,"female ego's younger brother",,,,
"meZ","sia'a, kaka -nyo",,"male ego's older sister",,,,
"myZ","tuai, totuai",,"male ego's younger sister",,,,
"feZ","sia'a, kaka -nyo",,"female ego's older sister",,,,
"fyZ","tuai, totuai",,"female ego's younger sister",,,,
"mF","siuma, si'uma, siama",,"male ego's father",,,,
"mM","siina",,"male ego's mother",,,,
"fF","siuma, si'uma, siama",,"female ego's father",,,,
"fM","siina",,"female ego's mother",,,,
"mS","unga",,"male ego's son",,,,
"fS","unga",,"female ego's son",,,,
"mD","unga",,"male ego's daughter",,,,
"fD","unga",,"female ego's daughter",,,,
"mSS","mo'upu -nyo",,"male ego's son's son",,,,
"mSD","mo'upu -nyo",,"male ego's son's daughter",,,,
"mDS","mo'upu -nyo",,"male ego's daughter's son",,,,
"mDD","mo'upu -nyo",,"male ego's daughter's daughter",,,,
"fSS","mo'upu -nyo",,"female ego's son's son",,,,
"fSD","mo'upu -nyo",,"female ego's son's daughter",,,,
"fDS","mo'upu -nyo",,"female ego's daughter's son",,,,
"fDD","mo'upu -nyo",,"female ego's daugher's daughter",,,,
"mFF","sikai, sipopu, tete langkai",,"male ego's father‘s father",,,,
"mFM","sibeke, sitete",,"male ego's father's mother",,,,
"mMF","sikai, sipopu, tete langkai",,"male ego's mother's father",,,,
"mMM","sibeke, sitete",,"male ego's mother's mother",,,,
"fFF","sikai, sipopu, tete langkai",,"female ego's father's father",,,,
"fFM","sibeke, sitete",,"female ego's father's mother",,,,
"fMF","sikai, sipopu, tete langkai",,"female ego's mother's father",,,,
"fMM","sibeke, sitete",,"female ego's mother's mother",,,,
"meBS","ponungaan, ponungaun",,"male ego's older brother's son",,,,
"myBS","ponungaan, ponungaun",,"male ego's younger brother's son",,,,
"meZS","ponungaan, ponungaun",,"male ego's older sister's son",,,,
"myZS","ponungaan, ponungaun",,"male ego's younger sister's son",,,,
"meBD","ponungaan, ponungaun",,"male ego's older brother's daughter",,,,
"myBD","ponungaan, ponungaun",,"male ego's younger brother's daughter",,,,
"meZD","ponungaan, ponungaun",,"male ego's older sister's daughter",,,,
"myZD","ponungaan, ponungaun",,"male ego's younger sister's daughter",,,,
"feBS","ponungaan, ponungaun",,"female ego's older brother's son",,,,
"fyBS","ponungaan, ponungaun",,"female ego's younger brother's son",,,,
"feZS","ponungaan, ponungaun",,"female ego's older sister's son",,,,
"fyZS","ponungaan, ponungaun",,"female ego's younger sister's son",,,,
"feBD","ponungaan, ponungaun",,"female ego's older brother's daughter",,,,
"fyBD","ponungaan, ponungaun",,"female ego's younger brother's daughter",,,,
"feZD","ponungaan, ponungaun",,"female ego's older sister's daughter",,,,
"fyZD","ponungaan, ponungaun",,"female ego's younger sister's daughter",,,,
"mFeB","ponsiamaan, ponsiamaun, si uma, uma déije",,"male ego's father's older brother",,,,
"mFyB","ponsiamaan, ponsiamaun, si uma, uma dee'i",,"male ego's father's younger brother",,,,
"mFeZ","ponsinaan, ponsinaun, poguinangan, ina déide",,"male ego's father's older sister",,,,
"mFyZ","ponsinaan, ponsinaun, poguinangan, ina dee'i",,"male ego's father's younger sister",,,,
"mMeB","ponsiamaan, ponsiamaun, si uma, uma déije",,"male ego's mother's older brother",,,,
"mMyB","ponsiamaan, ponsiamaun, si uma, uma dee'i",,"male ego's mother's younger brother",,,,
"mMeZ","ponsinaan, ponsinaun, poguinangan, ina déide",,"male ego's mother's older sister",,,,
"mMyZ","ponsinaan, ponsinaun, poguinangan, ina dee'i",,"male ego's mother's younger sister",,,,
"fFeB","ponsiamaan, ponsiamaun, si uma, uma déije",,"female ego's father's older brother",,,,
"fFyB","ponsiamaan, ponsiamaun, si uma, uma dee'i",,"female ego's father's younger brother",,,,
"fFeZ","ponsinaan, ponsinaun, poguinangan, ina déide",,"female ego's father's older sister",,,,
"fFyZ","ponsinaan, ponsinaun, poguinangan, ina dee'i",,"female ego's father's younger sister",,,,
"fMeB","ponsiamaan, ponsiamaun, si uma, uma déije",,"female ego's mother's older brother",,,,
