"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","pwiipwi",,"male ego's older brother",,,,
"myB","pwiipwi",,"male ego's younger brother",,,,
"feB","mwengeang",,"female ego's older brother",,,,
"fyB","mwengeang",,"female ego's younger brother",,,,
"meZ","mwengeang",,"male ego's older sister",,,,
"myZ","mwengeang",,"male ego's younger sister",,,,
"feZ","pwiipwi",,"female ego's older sister",,,,
"fyZ","pwiipwi",,"female ego's younger sister",,,,
"mF","saam",,"male ego's father",,,,
"mM","iin",,"male ego's mother",,,,
"fF","saam",,"female ego's father",,,,
"fM","iin",,"female ego's mother",,,,
"mFF","samelap",,"male ego's father‘s father",,,,
"mFM","inelap",,"male ego's father's mother",,,,
"mMF","samelap",,"male ego's mother's father",,,,
"mMM","inelap",,"male ego's mother's mother",,,,
"fFF","samelap",,"female ego's father's father",,,,
"fFM","inelap",,"female ego's father's mother",,,,
"fMF","samelap",,"female ego's mother's father",,,,
"fMM","inelap",,"female ego's mother's mother",,,,
"mFeB","tattalin saam",,"male ego's father's older brother",,,,
"mFyB","tattalin saam",,"male ego's father's younger brother",,,,
"mFeZ","tattalin iin",,"male ego's father's older sister",,,,
"mFyZ","tattalin iin",,"male ego's father's younger sister",,,,
"mMeB","tattalin saam",,"male ego's mother's older brother",,,,
"mMyB","tattalin saam",,"male ego's mother's younger brother",,,,
"mMeZ","tattalin iin",,"male ego's mother's older sister",,,,
"mMyZ","tattalin iin",,"male ego's mother's younger sister",,,,
"fFeB","tattalin saam",,"female ego's father's older brother",,,,
"fFyB","tattalin saam",,"female ego's father's younger brother",,,,
"fFeZ","tattalin iin",,"female ego's father's older sister",,,,
"fFyZ","tattalin iin",,"female ego's father's younger sister",,,,
"fMeB","tattalin saam",,"female ego's mother's older brother",,,,
"fMyB","tattalin saam",,"female ego's mother's younger brother",,,,
"fMeZ","tattalin iin",,"female ego's mother's older sister",,,,
"fMyZ","tattalin iin",,"female ego's mother's younger sister",,,,
"mFBS","tattalin pwiipwi",,"male ego's father's brother's son",,,,
"mFZS","tattalin pwiipwi",,"male ego's father's sister's son",,,,
"mMBS","tattalin pwiipwi",,"male ego's mother's brother's son",,,,
"mMZS","tattalin pwiipwi",,"male ego's mother's sister's son",,,,
