parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"tai, palla",,male ego's older brother,,,,
myB,"tai, palla",,male ego's younger brother,,,,
feB,"tai, palla",,female ego's older brother,,,,
fyB,"tai, palla",,female ego's younger brother,,,,
meZ,"gore, tai, gorna",,male ego's older sister,,,,
myZ,"gore, tai, gorna",,male ego's younger sister,,,,
feZ,"gore, tai, gorna",,female ego's older sister,,,,
fyZ,"gore, tai, gorna",,female ego's younger sister,,,,
mF,"mamei, anafa",,male ego's father,,,,
mM,"tetei, pella",,male ego's mother,,,,
fF,"mamei, anafa",,female ego's father,,,,
fM,"tetei, pella",,female ego's mother,,,,
mS,nanu nanwai,,male ego's son,,,,
fS,nanu nanwai,,female ego's son,,,,
mD,nanu nagrun,,male ego's daughter,,,,
fD,nanu nagrun,,female ego's daughter,,,,
mSS,sulla,,male ego's son's son,,,,
mSD,sulla,,male ego's son's daughter,,,,
mDS,sulla,,male ego's daughter's son,,,,
mDD,sulla,,male ego's daughter's daughter,,,,
fSS,sulla,,female ego's son's son,,,,
fSD,sulla,,female ego's son's daughter,,,,
fDS,sulla,,female ego's daughter's son,,,,
fDD,sulla,,female ego's daugher's daughter,,,,
mFF,"paapua, topna",,male ego's father‘s father,,,,
mFM,"atu, atuna",,male ego's father's mother,,,,
mMF,"paapua, apuna",,male ego's mother's father,,,,
mMM,"ati, atina",,male ego's mother's mother,,,,
fFF,"paapua, topna",,female ego's father's father,,,,
fFM,"atu, atuna",,female ego's father's mother,,,,
fMF,"paapua, apuna",,female ego's mother's father,,,,
fMM,"ati, atina",,female ego's mother's mother,,,,
mFeB,"maam, anamamna",,male ego's father's older brother,,,,
mFyB,"maam, anamamna",,male ego's father's younger brother,,,,
mFeZ,"mimiia, anasmamna",,male ego's father's older sister,,,,
mFyZ,"mimiia, anasmamna",,male ego's father's younger sister,,,,
mMeB,"lol, alona",,male ego's mother's older brother,,,,
mMyB,"lol, alona",,male ego's mother's younger brother,,,,
mMeZ,teete,,male ego's mother's older sister,,,,
mMyZ,teete,,male ego's mother's younger sister,,,,
fFeB,"maam, anamamna",,female ego's father's older brother,,,,
fFyB,"maam, anamamna",,female ego's father's younger brother,,,,
fFeZ,"mimiia, anasmamna",,female ego's father's older sister,,,,
fFyZ,"mimiia, anasmamna",,female ego's father's younger sister,,,,
fMeB,"lol, alona",,female ego's mother's older brother,,,,
fMyB,"lol, alona",,female ego's mother's younger brother,,,,
fMeZ,teete,,female ego's mother's older sister,,,,
fMyZ,teete,,female ego's mother's younger sister,,,,
mW,anagrun,,male ego's wife,,,,
fH,anaota,,female ego‘s husband,,,,
mWB,tawi-,,male ego's wife's brother,,,,
mWZ,tuna,,male ego's wife's sister,,,,
fHB,tawi-,,female ego's husband's brother,,,,
fHZ,tuna,,female ego's husband's sister,,,,
mBW,tuna,,male ego's brother's wife,,,,
fBW,tuna,,female ego's brother's wife,,,,
mZH,tawi-,,male ego's sister's husband,,,,
fZH,tawi-,,female ego's sister's husband,,,,
mFBS,"tai, palla",,male ego's father's brother's son,,,,
mFZS,"tai, palla",,male ego's father's sister's son,,,,
mMBS,"tai, palla",,male ego's mother's brother's son,,,,
mMZS,"tai, palla",,male ego's mother's sister's son,,,,
mFBD,"gore, tai, gorna",,male ego's father's brother's daughter,,,,
mFZD,"gore, tai, gorna",,male ego's father's sister's daughter,,,,
mMBD,"gore, tai, gorna",,male ego's mother's brother's daughter,,,,
mMZD,"gore, tai, gorna",,male ego's mother's sister's daughter,,,,
fFBS,"tai, palla",,female ego's father's brother's son,,,,
fFZS,"tai, palla",,female ego's father's sister's son,,,,
fMBS,"tai, palla",,female ego's mother's brother's son,,,,
fMZS,"tai, palla",,female ego's mother's sister's son,,,,
fFBD,"gore, tai, gorna",,female ego's father's brother's daughter,,,,
fFZD,"gore, tai, gorna",,female ego's father's sister's daughter,,,,
fMBD,"gore, tai, gorna",,female ego's mother's brother's daughter,,,,
fMZD,"gore, tai, gorna",,female ego's mother's sister's daughter,,,,
