"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tatan",,"male ego's older brother",,,,
"myB","tas(t)n",,"male ego's younger brother",,,,
"feB","tatan",,"female ego's older brother",,,,
"fyB","tas(t)n",,"female ego's younger brother",,,,
"meZ","vivin",,"male ego's older sister",,,,
"myZ","vivin",,"male ego's younger sister",,,,
"feZ","vivin",,"female ego's older sister",,,,
"fyZ","vivin",,"female ego's younger sister",,,,
"mF","mama",,"male ego's father",,,,
"mM","nida",,"male ego's mother",,,,
"fF","mama",,"female ego's father",,,,
"fM","nida",,"female ego's mother",,,,
"mS","nimkhut",,"male ego's son",,,,
"fS","nimkhut",,"female ego's son",,,,
"mD","nivin",,"male ego's daughter",,,,
"fD","nivin",,"female ego's daughter",,,,
"mSS","nakhabbun",,"male ego's son's son",,,,
"mSD","nakhabbun",,"male ego's son's daughter",,,,
"mDS","nakhabbun",,"male ego's daughter's son",,,,
"mDD","nakhabbun",,"male ego's daughter's daughter",,,,
"fSS","nakhabbun",,"female ego's son's son",,,,
"fSD","nakhabbun",,"female ego's son's daughter",,,,
"fDS","nakhabbun",,"female ego's daughter's son",,,,
"fDD","nakhabbun",,"female ego's daugher's daughter",,,,
"mFF","bbubbu",,"male ego's father‘s father",,,,
"mFM","nibbua",,"male ego's father's mother",,,,
"mMF","bbubbu",,"male ego's mother's father",,,,
"mMM","nibbua",,"male ego's mother's mother",,,,
"fFF","bbubbu",,"female ego's father's father",,,,
"fFM","nibbua",,"female ego's father's mother",,,,
"fMF","bbubbu",,"female ego's mother's father",,,,
"fMM","nibbua",,"female ego's mother's mother",,,,
"meBS","khalan",,"male ego's older brother's son",,,,
"myBS","khalan",,"male ego's younger brother's son",,,,
"meZS","khalan",,"male ego's older sister's son",,,,
"myZS","khalan",,"male ego's younger sister's son",,,,
"feBS","khalan",,"female ego's older brother's son",,,,
"fyBS","khalan",,"female ego's younger brother's son",,,,
"feZS","khalan",,"female ego's older sister's son",,,,
"fyZS","khalan",,"female ego's younger sister's son",,,,
"mFeB","mama tokhtokh",,"male ego's father's older brother",,,,
"mFyB","mama lele",,"male ego's father's younger brother",,,,
"mFeZ","nida tokhtokh",,"male ego's father's older sister",,,,
"mFyZ","nida lele",,"male ego's father's younger sister",,,,
"mMeB","bibi tokhtokh",,"male ego's mother's older brother",,,,
"mMyB","bibi lele",,"male ego's mother's younger brother",,,,
"mMeZ","nida tokhtokh",,"male ego's mother's older sister",,,,
"mMyZ","nida lele",,"male ego's mother's younger sister",,,,
"fFeB","mama tokhtokh",,"female ego's father's older brother",,,,
"fFyB","mama lele",,"female ego's father's younger brother",,,,
