parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,ithik,,male ego's older brother,,,,
myB,ithik,,male ego's younger brother,,,,
feB,tētek,,female ego's older brother,,,,
fyB,tētek,,female ego's younger brother,,,,
meZ,tētek,,male ego's older sister,,,,
myZ,tētek,,male ego's younger sister,,,,
feZ,ithik,,female ego's older sister,,,,
fyZ,ithik,,female ego's younger sister,,,,
mF,"itmek, imam",,male ego's father,,,,
mM,"ivēk, tita, nevep",,male ego's mother,,,,
fF,"itmek, imam",,female ego's father,,,,
fM,"ivēk, tita, nevep",,female ego's mother,,,,
mS,"intik, nintigi",,male ego's son,,,,
fS,intik,,female ego's son,,,,
mD,"intik, yōvōk, nintigi",,male ego's daughter,,,,
fD,"intik, yōvōk",,female ego's daughter,,,,
mSS,bōbō,,male ego's son's son,,,,
mSD,bōbō,,male ego's son's daughter,,,,
mDS,bōbō,,male ego's daughter's son,,,,
mDD,bōbō,,male ego's daughter's daughter,,,,
fSS,bōbō,,female ego's son's son,,,,
fSD,bōbō,,female ego's son's daughter,,,,
fDS,bōbō,,female ego's daughter's son,,,,
fDD,bōbō,,female ego's daugher's daughter,,,,
mFF,bōbō,,male ego's father‘s father,,,,
mFM,bōbō,,male ego's father's mother,,,,
mMF,bōbō,,male ego's mother's father,,,,
mMM,bōbō,,male ego's mother's mother,,,,
fFF,bōbō,,female ego's father's father,,,,
fFM,bōbō,,female ego's father's mother,,,,
fMF,bōbō,,female ego's mother's father,,,,
fMM,bōbō,,female ego's mother's mother,,,,
meBS,nintigi,,male ego's older brother's son,,,,
myBS,nintigi,,male ego's younger brother's son,,,,
meZS,"moyuk, itat",,male ego's older sister's son,,,,
myZS,"moyuk, itat",,male ego's younger sister's son,,,,
meBD,nintigi,,male ego's older brother's daughter,,,,
myBD,nintigi,,male ego's younger brother's daughter,,,,
meZD,moyuk,,male ego's older sister's daughter,,,,
myZD,moyuk,,male ego's younger sister's daughter,,,,
feBS,wōintik,,female ego's older brother's son,,,,
fyBS,wōintik,,female ego's younger brother's son,,,,
feZS,wōintik,,female ego's older sister's son,,,,
fyZS,wōintik,,female ego's younger sister's son,,,,
feBD,"wōintik, yēntik",,female ego's older brother's daughter,,,,
fyBD,"wōintik, yēntik",,female ego's younger brother's daughter,,,,
feZD,wōintik,,female ego's older sister's daughter,,,,
fyZD,wōintik,,female ego's younger sister's daughter,,,,
mFeB,"itmek, imam",,male ego's father's older brother,,,,
mFyB,"itmek, imam",,male ego's father's younger brother,,,,
mFeZ,"titamas, ivep",,male ego's father's older sister,,,,
mFyZ,"titamas, ivep",,male ego's father's younger sister,,,,
mMeB,itat,,male ego's mother's older brother,,,,
mMyB,itat,,male ego's mother's younger brother,,,,
mMeZ,"ivēk, tita",,male ego's mother's older sister,,,,
mMyZ,"ivēk, tita",,male ego's mother's younger sister,,,,
fFeB,"itmek, imam",,female ego's father's older brother,,,,
fFyB,"itmek, imam",,female ego's father's younger brother,,,,
fFeZ,"titamas, ivep",,female ego's father's older sister,,,,
fFyZ,"titamas, ivep",,female ego's father's younger sister,,,,
fMeB,itat,,female ego's mother's older brother,,,,
fMyB,itat,,female ego's mother's younger brother,,,,
fMeZ,"ivēk, tita",,female ego's mother's older sister,,,,
fMyZ,"ivēk, tita",,female ego's mother's younger sister,,,,
mW,ignik,,male ego's wife,,,,
fH,ignik,,female ego‘s husband,,,,
mDH,qēlgek,,male ego's daughter's husband,,,,
fDH,qēlgek,,female ego's daughter's husband,,,,
mSW,yēntik,,male ego's son's wife,,,,
fSW,yēntik,,female ego's son's wife,,,,
mWF,qēlgek,,male ego's wife's father,,,,
mWM,qēlgek,,male ego's wife's mother,,,,
fHF,qēlgek,,female ego's husband's father,,,,
fHM,qēlgek,,female ego's husband's mother,,,,
mFBS,ithik,,male ego's father's brother's son,,,,
mFZS,ithik,,male ego's father's sister's son,,,,
mMBS,ithik,,male ego's mother's brother's son,,,,
mMZS,ithik,,male ego's mother's sister's son,,,,
mFBD,tētek,,male ego's father's brother's daughter,,,,
mFZD,tētek,,male ego's father's sister's daughter,,,,
mMBD,tētek,,male ego's mother's brother's daughter,,,,
mMZD,tētek,,male ego's mother's sister's daughter,,,,
fFBS,tētek,,female ego's father's brother's son,,,,
fFZS,tētek,,female ego's father's sister's son,,,,
fMBS,tētek,,female ego's mother's brother's son,,,,
fMZS,tētek,,female ego's mother's sister's son,,,,
fFBD,ithik,,female ego's father's brother's daughter,,,,
fFZD,ithik,,female ego's father's sister's daughter,,,,
fMBD,ithik,,female ego's mother's brother's daughter,,,,
fMZD,ithik,,female ego's mother's sister's daughter,,,,
