parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mZ,bie',,,,AET1(19),gifford_californian_1922,
mF,bût xa,,,,AET1(19),gifford_californian_1922,
mM,mun tcwin,,,,AET1(19),gifford_californian_1922,
mC,mûntc in,,,,AET1(19),gifford_californian_1922,
mA,ci tsi,,,,AET1(19),gifford_californian_1922,
mMF,bût hwo,,,,AET1(19),gifford_californian_1922,
mCC,bût hwo,,,,AET1(19),gifford_californian_1922,
mBD,ba ce,,,,AET1(19),gifford_californian_1922,
mZS,ca ce,,,,AET1(19),gifford_californian_1922,
mH,ci k'a t'inne,,,,AET1(19),gifford_californian_1922,
mW,ci ilca,,,,AET1(19),gifford_californian_1922,
mHF,ci gan tce,,,,AET1(19),gifford_californian_1922,
mHM,ci gan tce,,,,AET1(19),gifford_californian_1922,
mWM,ci gan tce,,,,AET1(19),gifford_californian_1922,
mZH,ci ge din,,,,AET1(19),gifford_californian_1922,
mHZ,ci ge din,,,,AET1(19),gifford_californian_1922,
mSWM,cig ge,,,,AET1(19),gifford_californian_1922,
mDHM,cig gan dan,,,,AET1(19),gifford_californian_1922,
mDHF,cig ge,,,,AET1(19),gifford_californian_1922,
meZ,bie',,,,AET1(19),gifford_californian_1922,Inferred; NA
myZ,bie',,,,AET1(19),gifford_californian_1922,Inferred; NA
meBD,ba ce,,,,AET1(19),gifford_californian_1922,Inferred; NA
myBD,ba ce,,,,AET1(19),gifford_californian_1922,Inferred; NA
meZS,ca ce,,,,AET1(19),gifford_californian_1922,Inferred; NA
myZS,ca ce,,,,AET1(19),gifford_californian_1922,Inferred; NA
fZ,bi ax xe,,,,AET1(19),gifford_californian_1922,
fA,ci atc tce',,,,AET1(19),gifford_californian_1922,
fMF,bût hwo,,,,AET1(19),gifford_californian_1922,
fCC,bût hwo,,,,AET1(19),gifford_californian_1922,
fBD,ba ce,,,,AET1(19),gifford_californian_1922,
fZS,ca ce,,,,AET1(19),gifford_californian_1922,
fH,ci k'a t'inne,,,,AET1(19),gifford_californian_1922,
fW,ci ilca,,,,AET1(19),gifford_californian_1922,
fHF,ci gan tce,,,,AET1(19),gifford_californian_1922,
fHM,ci gan tce,,,,AET1(19),gifford_californian_1922,
fWM,ci gan tce,,,,AET1(19),gifford_californian_1922,
fZH,ci ge din,,,,AET1(19),gifford_californian_1922,
fHZ,ci ge din,,,,AET1(19),gifford_californian_1922,
fSWM,cig ge,,,,AET1(19),gifford_californian_1922,
fDHM,cig gan dan,,,,AET1(19),gifford_californian_1922,
fDHF,cig ge,,,,AET1(19),gifford_californian_1922,
feZ,bi ax xe,,,,AET1(19),gifford_californian_1922,Inferred; NA
fyZ,bi ax xe,,,,AET1(19),gifford_californian_1922,Inferred; NA
feBD,ba ce,,,,AET1(19),gifford_californian_1922,Inferred; NA
fyBD,ba ce,,,,AET1(19),gifford_californian_1922,Inferred; NA
feZS,ca ce,,,,AET1(19),gifford_californian_1922,Inferred; NA
fyZS,ca ce,,,,AET1(19),gifford_californian_1922,Inferred; NA
