parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,ʔaʰ'ko,,,,BAR2,moore_colorado_2015,
mB,kayã,,,,BAR2,moore_colorado_2015,
mZ,so-ʰ'ki,,,,BAR2,moore_colorado_2015,
mZ,mi'yã,,,,BAR2,moore_colorado_2015,
mF,ʔaʰ'pa,,,,BAR2,moore_colorado_2015,
mM,ʔa'yã,,,,BAR2,moore_colorado_2015,
mC,na,,,,BAR2,moore_colorado_2015,
mS,naʔo,,,,BAR2,moore_colorado_2015,
mD,nama,,,,BAR2,moore_colorado_2015,
mFF,taʰta,,,,BAR2,moore_colorado_2015,
mFM,mama,,,,BAR2,moore_colorado_2015,
mMF,taʰta,,,,BAR2,moore_colorado_2015,
mMM,mama,,,,BAR2,moore_colorado_2015,
mFB,mãpi,,,,BAR2,moore_colorado_2015,
mFZ,mã'ku,,,,BAR2,moore_colorado_2015,
mMB,mãpi,,,,BAR2,moore_colorado_2015,
mMZ,mã'ku,,,,BAR2,moore_colorado_2015,
mH,ʔu'nila,,,,BAR2,moore_colorado_2015,
mW,so-na,,,,BAR2,moore_colorado_2015,
mSW,na-so,,,,BAR2,moore_colorado_2015,
mSW,na-so,,,,BAR2,moore_colorado_2015,
mDH,ki'ya,,,,BAR2,moore_colorado_2015,
mDH,ki'ya,,,,BAR2,moore_colorado_2015,
meB,ʔaʰ'ko,,,,BAR2,moore_colorado_2015,Inferred; NA
meB,kayã,,,,BAR2,moore_colorado_2015,Inferred; NA
myB,ʔaʰ'ko,,,,BAR2,moore_colorado_2015,Inferred; NA
myB,kayã,,,,BAR2,moore_colorado_2015,Inferred; NA
meZ,so-ʰ'ki,,,,BAR2,moore_colorado_2015,Inferred; NA
meZ,mi'yã,,,,BAR2,moore_colorado_2015,Inferred; NA
myZ,so-ʰ'ki,,,,BAR2,moore_colorado_2015,Inferred; NA
myZ,mi'yã,,,,BAR2,moore_colorado_2015,Inferred; NA
mFeB,mãpi,,,,BAR2,moore_colorado_2015,Inferred; NA
mFyB,mãpi,,,,BAR2,moore_colorado_2015,Inferred; NA
mFeZ,mã'ku,,,,BAR2,moore_colorado_2015,Inferred; NA
mFyZ,mã'ku,,,,BAR2,moore_colorado_2015,Inferred; NA
mMeZ,mã'ku,,,,BAR2,moore_colorado_2015,Inferred; NA
mMyZ,mã'ku,,,,BAR2,moore_colorado_2015,Inferred; NA
mMeB,mãpi,,,,BAR2,moore_colorado_2015,Inferred; NA
mMyB,mãpi,,,,BAR2,moore_colorado_2015,Inferred; NA
fB,ʔaʰ'ko,,,,BAR2,moore_colorado_2015,
fB,kayã,,,,BAR2,moore_colorado_2015,
fZ,so-ʰ'ki,,,,BAR2,moore_colorado_2015,
fZ,mi'yã,,,,BAR2,moore_colorado_2015,
fF,ʔaʰ'pa,,,,BAR2,moore_colorado_2015,
fM,ʔa'yã,,,,BAR2,moore_colorado_2015,
fC,na,,,,BAR2,moore_colorado_2015,
fS,naʔo,,,,BAR2,moore_colorado_2015,
fD,nama,,,,BAR2,moore_colorado_2015,
fFF,taʰta,,,,BAR2,moore_colorado_2015,
fFM,mama,,,,BAR2,moore_colorado_2015,
fMF,taʰta,,,,BAR2,moore_colorado_2015,
fMM,mama,,,,BAR2,moore_colorado_2015,
fFB,mãpi,,,,BAR2,moore_colorado_2015,
fFZ,mã'ku,,,,BAR2,moore_colorado_2015,
fMB,mãpi,,,,BAR2,moore_colorado_2015,
fMZ,mã'ku,,,,BAR2,moore_colorado_2015,
fH,ʔu'nila,,,,BAR2,moore_colorado_2015,
fW,so-na,,,,BAR2,moore_colorado_2015,
fSW,na-so,,,,BAR2,moore_colorado_2015,
fSW,na-so,,,,BAR2,moore_colorado_2015,
fDH,ki'ya,,,,BAR2,moore_colorado_2015,
fDH,ki'ya,,,,BAR2,moore_colorado_2015,
feB,ʔaʰ'ko,,,,BAR2,moore_colorado_2015,Inferred; NA
feB,kayã,,,,BAR2,moore_colorado_2015,Inferred; NA
fyB,ʔaʰ'ko,,,,BAR2,moore_colorado_2015,Inferred; NA
fyB,kayã,,,,BAR2,moore_colorado_2015,Inferred; NA
feZ,so-ʰ'ki,,,,BAR2,moore_colorado_2015,Inferred; NA
feZ,mi'yã,,,,BAR2,moore_colorado_2015,Inferred; NA
fyZ,so-ʰ'ki,,,,BAR2,moore_colorado_2015,Inferred; NA
fyZ,mi'yã,,,,BAR2,moore_colorado_2015,Inferred; NA
fFeB,mãpi,,,,BAR2,moore_colorado_2015,Inferred; NA
fFyB,mãpi,,,,BAR2,moore_colorado_2015,Inferred; NA
fFeZ,mã'ku,,,,BAR2,moore_colorado_2015,Inferred; NA
fFyZ,mã'ku,,,,BAR2,moore_colorado_2015,Inferred; NA
fMeZ,mã'ku,,,,BAR2,moore_colorado_2015,Inferred; NA
fMyZ,mã'ku,,,,BAR2,moore_colorado_2015,Inferred; NA
fMeB,mãpi,,,,BAR2,moore_colorado_2015,Inferred; NA
fMyB,mãpi,,,,BAR2,moore_colorado_2015,Inferred; NA
