parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,o'yakx,,,,ISO15,moser_seri_2015,
myB,-aškš,,,,ISO15,moser_seri_2015,
myB,-akaš,,,,ISO15,moser_seri_2015,
myZ,-kōme,,,,ISO15,moser_seri_2015,
myZ,-atkš,,,,ISO15,moser_seri_2015,
mF,-ai,,,,ISO15,moser_seri_2015,
mF,-am,,,,ISO15,moser_seri_2015,
mM,-ata,,,,ISO15,moser_seri_2015,
mC,īkæt,,,,ISO15,moser_seri_2015,
mC,yāši,,,,ISO15,moser_seri_2015,
mS,-sāk,,,,ISO15,moser_seri_2015,
mS,īkæt,,,,ISO15,moser_seri_2015,
mD,-ǣk,,,,ISO15,moser_seri_2015,
mD,īkæt,,,,ISO15,moser_seri_2015,
mFF,-apaš,,,,ISO15,moser_seri_2015,
mFF,-aaš,,,,ISO15,moser_seri_2015,
mFM,-akt,,,,ISO15,moser_seri_2015,
mFM,-amaš,,,,ISO15,moser_seri_2015,
mMF,-apaš,,,,ISO15,moser_seri_2015,
mMF,-aaš,,,,ISO15,moser_seri_2015,
mMM,-akt,,,,ISO15,moser_seri_2015,
mMM,-amaš,,,,ISO15,moser_seri_2015,
mSS,-kipaš,,,,ISO15,moser_seri_2015,
mSS,-kāsak,,,,ISO15,moser_seri_2015,
mSS,-kāk,,,,ISO15,moser_seri_2015,
mSS,-kæši,,,,ISO15,moser_seri_2015,
mSD,-kipaš,,,,ISO15,moser_seri_2015,
mSD,-kāsak,,,,ISO15,moser_seri_2015,
mSD,-kāk,,,,ISO15,moser_seri_2015,
mSD,-kæši,,,,ISO15,moser_seri_2015,
mDS,-kipaš,,,,ISO15,moser_seri_2015,
mDS,-kāsak,,,,ISO15,moser_seri_2015,
mDS,-kāk,,,,ISO15,moser_seri_2015,
mDS,-kæši,,,,ISO15,moser_seri_2015,
mDD,-kipaš,,,,ISO15,moser_seri_2015,
mDD,-kāsak,,,,ISO15,moser_seri_2015,
mDD,-kāk,,,,ISO15,moser_seri_2015,
mDD,-kæši,,,,ISO15,moser_seri_2015,
mFB,-maʔax,,,,ISO15,moser_seri_2015,
mFB,-aitš,,,,ISO15,moser_seri_2015,
mFZ,-yāk,,,,ISO15,moser_seri_2015,
mMB,-šmī,,,,ISO15,moser_seri_2015,
mMB,-χāk,,,,ISO15,moser_seri_2015,
mMZ,-tmaʔax,,,,ISO15,moser_seri_2015,
mMZ,-ntāk,,,,ISO15,moser_seri_2015,
mBS,-āk,,,,ISO15,moser_seri_2015,
mBS,-kmaʔax,,,,ISO15,moser_seri_2015,
mBS,-apχaš,,,,ISO15,moser_seri_2015,
mBS,-kītaš,,,,ISO15,moser_seri_2015,
mBS,-tkmaʔax,,,,ISO15,moser_seri_2015,
mBS,-šōk,,,,ISO15,moser_seri_2015,
mZS,-āk,,,,ISO15,moser_seri_2015,
mZS,-kmaʔax,,,,ISO15,moser_seri_2015,
mZS,-apχaš,,,,ISO15,moser_seri_2015,
mZS,-kītaš,,,,ISO15,moser_seri_2015,
mZS,-tkmaʔax,,,,ISO15,moser_seri_2015,
mZS,-šōk,,,,ISO15,moser_seri_2015,
