"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","-pun'hʷaʔ",,,,"MAT4","braunstein_wichi_2015",""
"myB","-čˀinih",,,,"MAT4","braunstein_wichi_2015",""
"myZ","-čˀih'no",,,,"MAT4","braunstein_wichi_2015",""
"mF","-hʷ'ča",,,,"MAT4","braunstein_wichi_2015",""
"mM","-ku",,,,"MAT4","braunstein_wichi_2015",""
"mS","-ɬos",,,,"MAT4","braunstein_wichi_2015",""
"mD","-ɬo's-e",,,,"MAT4","braunstein_wichi_2015",""
"mFF","-čo'ti",,,,"MAT4","braunstein_wichi_2015",""
"mFM","-kate'la",,,,"MAT4","braunstein_wichi_2015",""
"mMF","-čo'ti",,,,"MAT4","braunstein_wichi_2015",""
"mMM","-kate'la",,,,"MAT4","braunstein_wichi_2015",""
"mSS","-če'yo-s",,,,"MAT4","braunstein_wichi_2015",""
"mSD","-če'yo-ʔ",,,,"MAT4","braunstein_wichi_2015",""
"mDS","-če'yo-s",,,,"MAT4","braunstein_wichi_2015",""
"mDD","-če'yo-ʔ",,,,"MAT4","braunstein_wichi_2015",""
"mBS","-waʔ'laʔ",,,,"MAT4","braunstein_wichi_2015",""
"mBD","-waʔlaʔ-'ni",,,,"MAT4","braunstein_wichi_2015",""
"mZS","-waʔ'laʔ",,,,"MAT4","braunstein_wichi_2015",""
"mZD","-waʔlaʔ-'ni",,,,"MAT4","braunstein_wichi_2015",""
"mH","-če-'hʷaʔ",,,,"MAT4","braunstein_wichi_2015",""
"mW","-če-'hʷaʔ",,,,"MAT4","braunstein_wichi_2015",""
"mHF","-čo'ti",,,,"MAT4","braunstein_wichi_2015",""
"mHM","-kate'la",,,,"MAT4","braunstein_wichi_2015",""
"mWF","-čo'ti",,,,"MAT4","braunstein_wichi_2015",""
"mWM","-kate'la",,,,"MAT4","braunstein_wichi_2015",""
"mSW","-ti'čeʔ",,,,"MAT4","braunstein_wichi_2015",""
"mSW","-ti'čeʔ",,,,"MAT4","braunstein_wichi_2015",""
"mDH","-hʷa-ye'n-ek",,,,"MAT4","braunstein_wichi_2015",""
"mDH","-hʷa-ye'n-ek",,,,"MAT4","braunstein_wichi_2015",""
"meBS","-waʔ'laʔ",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"myBS","-waʔ'laʔ",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"meBD","-waʔlaʔ-'ni",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"myBD","-waʔlaʔ-'ni",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"meZS","-waʔ'laʔ",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"myZS","-waʔ'laʔ",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"meZD","-waʔlaʔ-'ni",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"myZD","-waʔlaʔ-'ni",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"fG","-pun'hʷaʔ",,,,"MAT4","braunstein_wichi_2015",""
"fyB","-čˀinih",,,,"MAT4","braunstein_wichi_2015",""
"fyZ","-čˀih'no",,,,"MAT4","braunstein_wichi_2015",""
"fF","-hʷ'ča",,,,"MAT4","braunstein_wichi_2015",""
"fM","-ku",,,,"MAT4","braunstein_wichi_2015",""
"fS","-ɬos",,,,"MAT4","braunstein_wichi_2015",""
"fD","-ɬo's-e",,,,"MAT4","braunstein_wichi_2015",""
"fFF","-čo'ti",,,,"MAT4","braunstein_wichi_2015",""
"fFM","-kate'la",,,,"MAT4","braunstein_wichi_2015",""
"fMF","-čo'ti",,,,"MAT4","braunstein_wichi_2015",""
"fMM","-kate'la",,,,"MAT4","braunstein_wichi_2015",""
"fSS","-če'yo-s",,,,"MAT4","braunstein_wichi_2015",""
"fSD","-če'yo-ʔ",,,,"MAT4","braunstein_wichi_2015",""
"fDS","-če'yo-s",,,,"MAT4","braunstein_wichi_2015",""
"fDD","-če'yo-ʔ",,,,"MAT4","braunstein_wichi_2015",""
"fBS","-waʔ'laʔ",,,,"MAT4","braunstein_wichi_2015",""
"fBD","-waʔlaʔ-'ni",,,,"MAT4","braunstein_wichi_2015",""
"fZS","-waʔ'laʔ",,,,"MAT4","braunstein_wichi_2015",""
"fZD","-waʔlaʔ-'ni",,,,"MAT4","braunstein_wichi_2015",""
"fH","-če-'hʷaʔ",,,,"MAT4","braunstein_wichi_2015",""
"fW","-če-'hʷaʔ",,,,"MAT4","braunstein_wichi_2015",""
"fHF","-čo'ti",,,,"MAT4","braunstein_wichi_2015",""
"fHM","-kate'la",,,,"MAT4","braunstein_wichi_2015",""
"fWF","-čo'ti",,,,"MAT4","braunstein_wichi_2015",""
"fWM","-kate'la",,,,"MAT4","braunstein_wichi_2015",""
"fSW","-ti'čeʔ",,,,"MAT4","braunstein_wichi_2015",""
"fSW","-ti'čeʔ",,,,"MAT4","braunstein_wichi_2015",""
"fDH","-hʷa-ye'n-ek",,,,"MAT4","braunstein_wichi_2015",""
"fDH","-hʷa-ye'n-ek",,,,"MAT4","braunstein_wichi_2015",""
"feBS","-waʔ'laʔ",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"fyBS","-waʔ'laʔ",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"feBD","-waʔlaʔ-'ni",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
"fyBD","-waʔlaʔ-'ni",,,,"MAT4","braunstein_wichi_2015","Inferred; NA"
