"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mB","-pe-wãi",,,,"ISO13","richardson_puinave_2015",""
"mZ","-hã-wãi",,,,"ISO13","richardson_puinave_2015",""
"myB","-pe-wãi i-tɨt",,,,"ISO13","richardson_puinave_2015",""
"myZ","-hã-wãi i-tɨt",,,,"ISO13","richardson_puinave_2015",""
"mF","-i",,,,"ISO13","richardson_puinave_2015",""
"mM","-in",,,,"ISO13","richardson_puinave_2015",""
"mC","-tɨi",,,,"ISO13","richardson_puinave_2015",""
"mS","-wa",,,,"ISO13","richardson_puinave_2015",""
"mD","-dou",,,,"ISO13","richardson_puinave_2015",""
"mFF","-dom",,,,"ISO13","richardson_puinave_2015",""
"mFM","-an",,,,"ISO13","richardson_puinave_2015",""
"mMF","-dom",,,,"ISO13","richardson_puinave_2015",""
"mMM","-an",,,,"ISO13","richardson_puinave_2015",""
"mSS","-hə̃i-wãi",,,,"ISO13","richardson_puinave_2015",""
"mSD","-hə̃i-wãi-da",,,,"ISO13","richardson_puinave_2015",""
"mDS","-hə̃i-wãi",,,,"ISO13","richardson_puinave_2015",""
"mDD","-hə̃i-wãi-da",,,,"ISO13","richardson_puinave_2015",""
"mFB","-i-bəi",,,,"ISO13","richardson_puinave_2015",""
"mFZ","-iha",,,,"ISO13","richardson_puinave_2015",""
"mMB","-wota",,,,"ISO13","richardson_puinave_2015",""
"mMZ","-inha",,,,"ISO13","richardson_puinave_2015",""
"mBS","-pe-wo-wãi",,,,"ISO13","richardson_puinave_2015",""
"mBD","-pe-do-wãi",,,,"ISO13","richardson_puinave_2015",""
"mZS","-pe-wo-wãi",,,,"ISO13","richardson_puinave_2015",""
"mZD","-pe-do-wãi",,,,"ISO13","richardson_puinave_2015",""
"mH","-bon",,,,"ISO13","richardson_puinave_2015",""
"mW","-u",,,,"ISO13","richardson_puinave_2015",""
"mHF","-u'ɨi",,,,"ISO13","richardson_puinave_2015",""
"mHM","-ditan",,,,"ISO13","richardson_puinave_2015",""
"mWF","-u'ɨi",,,,"ISO13","richardson_puinave_2015",""
"mWM","-ditan",,,,"ISO13","richardson_puinave_2015",""
"mSW","-wa'u",,,,"ISO13","richardson_puinave_2015",""
"mSW","-wa'u",,,,"ISO13","richardson_puinave_2015",""
"mDH","-dou'u",,,,"ISO13","richardson_puinave_2015",""
"mDH","-dou'u",,,,"ISO13","richardson_puinave_2015",""
"meB","-pe-wãi",,,,"ISO13","richardson_puinave_2015","Inferred; NA"
"meZ","-hã-wãi",,,,"ISO13","richardson_puinave_2015","Inferred; NA"
"mFeB","-i-bəi",,,,"ISO13","richardson_puinave_2015","Inferred; NA"
"mFyB","-i-bəi",,,,"ISO13","richardson_puinave_2015","Inferred; NA"
"mFeZ","-iha",,,,"ISO13","richardson_puinave_2015","Inferred; NA"
"mFyZ","-iha",,,,"ISO13","richardson_puinave_2015","Inferred; NA"
"mMeZ","-inha",,,,"ISO13","richardson_puinave_2015","Inferred; NA"
