"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","banquilal",,,,"MA2(214)","slocum_diccionario_1999",""
"myB","ihts'inal",,,,"MA2(214)","slocum_diccionario_1999",""
"myB","uts'",,,,"MA2(214)","slocum_diccionario_1999","the next one in age?'"
"meZ","wixil",,,,"MA2(214)","slocum_diccionario_1999",""
"myZ","ihts'inal",,,,"MA2(214)","slocum_diccionario_1999",""
"myZ","uts'",,,,"MA2(214)","slocum_diccionario_1999","the next one in age?'"
"mF","tat",,,,"MA2(327)","slocum_diccionario_1999",""
"mM","nan",,,,"MA2(326)","slocum_diccionario_1999",""
"mM","me'",,,,"MA2(326)","slocum_diccionario_1999",""
"mS","wich'an",,,,"MA2(214)","slocum_diccionario_1999",""
"mS","xut",,,,"MA2(214)","slocum_diccionario_1999","youngest son"
"mS","xutul-nich'an",,,,"MA2(214)","slocum_diccionario_1999","youngest son"
"mS","alnich'an",,,,"MA2(214)","slocum_diccionario_1999",""
"mS","coltseben",,,,"MA2(214)","slocum_diccionario_1999","adopted son"
"mS","me'bal-al",,,,"MA2(214)","slocum_diccionario_1999",""
"mD","antsil-nich'an",,,,"MA2(214)","slocum_diccionario_1999",""
"mFF","mamuch mamal",,,,"MA2(161)","slocum_diccionario_1999",""
"mFM","chuchu'",,,,"MA2(161)","slocum_diccionario_1999",""
"mMF","mamuch mamal",,,,"MA2(161)","slocum_diccionario_1999",""
"mMM","chuchu'",,,,"MA2(161)","slocum_diccionario_1999",""
"mSS","mam",,,,"MA2(326)","slocum_diccionario_1999",""
"mFB","tajun",,,,"MA2(327)","slocum_diccionario_1999",""
"mMB","ichan",,,,"MA2(327)","slocum_diccionario_1999",""
"mMZ","me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mMZ","muc'ul wix",,,,"MA2(327)","slocum_diccionario_1999",""
"mMZ","muc'ul nan",,,,"MA2(327)","slocum_diccionario_1999",""
"mBS","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"mBD","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"mZS","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"mZD","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"meBS","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"myBS","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"meBD","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"myBD","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"meZS","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"myZS","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"meZD","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"myZD","nich'ajun",,,,"MA2(327)","slocum_diccionario_1999",""
"mFZD","yantsil-al me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mFBD","yantsil-al me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mMBD","yantsil-al me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mMZD","yantsil-al me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mFZD","yal-me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mFBD","yal-me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mMBD","yal-me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mMZD","yal-me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mFBS","ichan",,,,"MA2(327)","slocum_diccionario_1999",""
"mFZS","ichan",,,,"MA2(327)","slocum_diccionario_1999",""
"mMBS","ichan",,,,"MA2(327)","slocum_diccionario_1999",""
"mMZS","ichan",,,,"MA2(327)","slocum_diccionario_1999",""
"mFBS","squerem-al me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mFZS","squerem-al me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mMBS","squerem-al me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mMZS","squerem-al me'jun",,,,"MA2(327)","slocum_diccionario_1999",""
"mH","mamalahil",,,,"MA2(205)","slocum_diccionario_1999",""
"mW","inhamil",,,,"MA2(205)","slocum_diccionario_1999",""
"mHF","nilhalmamal",,,,"MA2(327)","slocum_diccionario_1999",""
"mHM","alib me'el",,,,"MA2(327)","slocum_diccionario_1999",""
"mWF","alibmamal",,,,"MA2(327)","slocum_diccionario_1999",""
"mWM","nihal me'el",,,,"MA2(327)","slocum_diccionario_1999",""
"mBW","mu'",,,,"MA2(189)","slocum_diccionario_1999","jawan - between woman, mu' ms to woman"
"mZH","bal",,,,"MA2(189)","slocum_diccionario_1999","bal - between men, mu- ws to man"
"mWB","bal",,,,"MA2(189)","slocum_diccionario_1999","bal - between men, mu- ws to man"
"mWZ","mu'",,,,"MA2(189)","slocum_diccionario_1999","jawan - between woman, mu' ms to woman"
"mHB","bal",,,,"MA2(189)","slocum_diccionario_1999","bal - between men, mu- ws to man"
"mHZ","mu'",,,,"MA2(189)","slocum_diccionario_1999","jawan - between woman, mu' ms to woman"
"mFW(notM)","cha'nan",,,,"MA2(326)","slocum_diccionario_1999",""
"mFW(notM)","cha'me'",,,,"MA2(326)","slocum_diccionario_1999",""
"mMH(notF)","cha'tat",,,,"MA2(327)","slocum_diccionario_1999",""
"mSW","alib",,,,"MA2(326)","slocum_diccionario_1999",""
"mDH","nihal",,,,"MA2(327)","slocum_diccionario_1999",""
"mFeB","tajun",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mFyB","tajun",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mMeZ","me'jun",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mMeZ","muc'ul wix",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mMeZ","muc'ul nan",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mMyZ","me'jun",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mMyZ","muc'ul wix",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mMyZ","muc'ul nan",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mMeB","ichan",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mMyB","ichan",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mFeBS","ichan",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
"mFeBS","squerem-al me'jun",,,,"MA2(327)","slocum_diccionario_1999","Inferred; NA"
